"book","chapter","verse","part of speech","parsing code","text (including punctuation)","word (with punctuation stripped)","normalized word","lemma"
"41","01","01","N","NSF","Ἀρχὴ","Ἀρχὴ","ἀρχή","ἀρχή"
"41","01","01","RA","GSN","τοῦ","τοῦ","τοῦ","ὁ"
"41","01","01","N","GSN","εὐαγγελίου","εὐαγγελίου","εὐαγγελίου","εὐαγγέλιον"
"41","01","01","N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
"41","01","01","N","GSM","⸀χριστοῦ.","χριστοῦ","Χριστοῦ","Χριστός"
"41","01","02","C","","⸀Καθὼς","Καθὼς","καθώς","καθώς"
"41","01","02","V","3XPI-S","γέγραπται","γέγραπται","γέγραπται","γράφω"
"41","01","02","P","","ἐν","ἐν","ἐν","ἐν"
"41","01","02","RA","DSM","⸂τῷ","τῷ","τῷ","ὁ"
"41","01","02","N","DSM","Ἠσαΐᾳ","Ἠσαΐᾳ","Ἠσαΐᾳ","Ἠσαΐας"
"41","01","02","RA","DSM","τῷ","τῷ","τῷ","ὁ"
"41","01","02","N","DSM","προφήτῃ⸃·","προφήτῃ","προφήτῃ","προφήτης"
"41","01","02","X","","⸀Ἰδοὺ","Ἰδοὺ","ἰδού","ἰδού"
"41","01","02","V","1PAI-S","ἀποστέλλω","ἀποστέλλω","ἀποστέλλω","ἀποστέλλω"
"41","01","02","RA","ASM","τὸν","τὸν","τόν","ὁ"
"41","01","02","N","ASM","ἄγγελόν","ἄγγελόν","ἄγγελον","ἄγγελος"
"41","01","02","RP","GS","μου","μου","μου","ἐγώ"
"41","01","02","P","","πρὸ","πρὸ","πρό","πρό"
"41","01","02","N","GSN","προσώπου","προσώπου","προσώπου","πρόσωπον"
"41","01","02","RP","GS","σου,","σου","σου","σύ"
"41","01","02","RR","NSM","ὃς","ὃς","ὅς","ὅς"
"41","01","02","V","3FAI-S","κατασκευάσει","κατασκευάσει","κατασκευάσει","κατασκευάζω"
"41","01","02","RA","ASF","τὴν","τὴν","τήν","ὁ"
"41","01","02","N","ASF","ὁδόν","ὁδόν","ὁδόν","ὁδός"
