"OSIS_id","Chapter","Verse","ParsingCodePOS","ParsingCodeDetails","TextWithPunctuation","WordWithPunctuationStripped","NormalizedWord","Lemma"
42,01,01,"C",NULL,"Ἐπειδήπερ","Ἐπειδήπερ","ἐπειδήπερ","ἐπειδήπερ"
42,01,01,"A","NPM","πολλοὶ","πολλοὶ","πολλοί","πολύς"
42,01,01,"V","3AAI-P","ἐπεχείρησαν","ἐπεχείρησαν","ἐπεχείρησαν","ἐπιχειρέω"
42,01,01,"V","AMN","ἀνατάξασθαι","ἀνατάξασθαι","ἀνατάξασθαι","ἀνατάσσομαι"
42,01,01,"N","ASF","διήγησιν","διήγησιν","διήγησιν","διήγησις"
42,01,01,"P",NULL,"περὶ","περὶ","περί","περί"
42,01,01,"RA","GPN","τῶν","τῶν","τῶν","ὁ"
42,01,01,"V","XPPGPN","πεπληροφορημένων","πεπληροφορημένων","πεπληροφορημένων","πληροφορέω"
42,01,01,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
42,01,01,"RP","DP","ἡμῖν","ἡμῖν","ἡμῖν","ἐγώ"
42,01,01,"N","GPN","πραγμάτων,","πραγμάτων","πραγμάτων","πρᾶγμα"
42,01,02,"C",NULL,"καθὼς","καθὼς","καθώς","καθώς"
42,01,02,"V","3AAI-P","παρέδοσαν","παρέδοσαν","παρέδοσαν","παραδίδωμι"
42,01,02,"RP","DP","ἡμῖν","ἡμῖν","ἡμῖν","ἐγώ"
42,01,02,"RA","NPM","οἱ","οἱ","οἱ","ὁ"
42,01,02,"P",NULL,"ἀπ’","ἀπ’","ἀπό","ἀπό"
42,01,02,"N","GSF","ἀρχῆς","ἀρχῆς","ἀρχῆς","ἀρχή"
42,01,02,"N","NPM","αὐτόπται","αὐτόπται","αὐτόπται","αὐτόπτης"
42,01,02,"C",NULL,"καὶ","καὶ","καί","καί"
42,01,02,"N","NPM","ὑπηρέται","ὑπηρέται","ὑπηρέται","ὑπηρέτης"
42,01,02,"V","AMPNPM","γενόμενοι","γενόμενοι","γενόμενοι","γίνομαι"
42,01,02,"RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
42,01,02,"N","GSM","λόγου,","λόγου","λόγου","λόγος"
42,01,03,"V","3AAI-S","ἔδοξε","ἔδοξε","ἔδοξε(ν)","δοκέω"
42,01,03,"RP","DS","κἀμοὶ","κἀμοὶ","κἀμοί","κἀγώ"
