"OSIS_id","Chapter","Verse","ParsingCodePOS","ParsingCodeDetails","TextWithPunctuation","WordWithPunctuationStripped","NormalizedWord","Lemma"
43,01,01,"P",NULL,"Ἐν","Ἐν","ἐν","ἐν"
43,01,01,"N","DSF","ἀρχῇ","ἀρχῇ","ἀρχῇ","ἀρχή"
43,01,01,"V","3IAI-S","ἦν","ἦν","ἦν","εἰμί"
43,01,01,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
43,01,01,"N","NSM","λόγος,","λόγος","λόγος","λόγος"
43,01,01,"C",NULL,"καὶ","καὶ","καί","καί"
43,01,01,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
43,01,01,"N","NSM","λόγος","λόγος","λόγος","λόγος"
43,01,01,"V","3IAI-S","ἦν","ἦν","ἦν","εἰμί"
43,01,01,"P",NULL,"πρὸς","πρὸς","πρός","πρός"
43,01,01,"RA","ASM","τὸν","τὸν","τόν","ὁ"
43,01,01,"N","ASM","θεόν,","θεόν","θεόν","θεός"
43,01,01,"C",NULL,"καὶ","καὶ","καί","καί"
43,01,01,"N","NSM","θεὸς","θεὸς","θεός","θεός"
43,01,01,"V","3IAI-S","ἦν","ἦν","ἦν","εἰμί"
43,01,01,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
43,01,01,"N","NSM","λόγος.","λόγος","λόγος","λόγος"
43,01,02,"RD","NSM","οὗτος","οὗτος","οὗτος","οὗτος"
43,01,02,"V","3IAI-S","ἦν","ἦν","ἦν","εἰμί"
43,01,02,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
43,01,02,"N","DSF","ἀρχῇ","ἀρχῇ","ἀρχῇ","ἀρχή"
43,01,02,"P",NULL,"πρὸς","πρὸς","πρός","πρός"
43,01,02,"RA","ASM","τὸν","τὸν","τόν","ὁ"
43,01,02,"N","ASM","θεόν.","θεόν","θεόν","θεός"
43,01,03,"A","NPN","πάντα","πάντα","πάντα","πᾶς"
43,01,03,"P",NULL,"δι’","δι’","διά","διά"
43,01,03,"RP","GSM","αὐτοῦ","αὐτοῦ","αὐτοῦ","αὐτός"
43,01,03,"V","3AMI-S","ἐγένετο,","ἐγένετο","ἐγένετο","γίνομαι"
43,01,03,"C",NULL,"καὶ","καὶ","καί","καί"
43,01,03,"P",NULL,"χωρὶς","χωρὶς","χωρίς","χωρίς"
43,01,03,"RP","GSM","αὐτοῦ","αὐτοῦ","αὐτοῦ","αὐτός"
43,01,03,"V","3AMI-S","ἐγένετο","ἐγένετο","ἐγένετο","γίνομαι"
43,01,03,"D",NULL,"οὐδὲ","οὐδὲ","οὐδέ","οὐδέ"
43,01,03,"A","NSN","ἕν.","ἕν","ἕν","εἷς"
43,01,03,"RR","NSN","ὃ","ὃ","ὅ","ὅς"
43,01,03,"V","3XAI-S","γέγονεν","γέγονεν","γέγονε(ν)","γίνομαι"
43,01,04,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
43,01,04,"RP","DSM","αὐτῷ","αὐτῷ","αὐτῷ","αὐτός"
43,01,04,"N","NSF","ζωὴ","ζωὴ","ζωή","ζωή"
43,01,04,"V","3IAI-S","ἦν,","ἦν","ἦν","εἰμί"
43,01,04,"C",NULL,"καὶ","καὶ","καί","καί"
43,01,04,"RA","NSF","ἡ","ἡ","ἡ","ὁ"
43,01,04,"N","NSF","ζωὴ","ζωὴ","ζωή","ζωή"
43,01,04,"V","3IAI-S","ἦν","ἦν","ἦν","εἰμί"
43,01,04,"RA","NSN","τὸ","τὸ","τό","ὁ"
43,01,04,"N","NSN","φῶς","φῶς","φῶς","φῶς"
43,01,04,"RA","GPM","τῶν","τῶν","τῶν","ὁ"
43,01,04,"N","GPM","ἀνθρώπων·","ἀνθρώπων","ἀνθρώπων","ἄνθρωπος"
43,01,05,"C",NULL,"καὶ","καὶ","καί","καί"
43,01,05,"RA","NSN","τὸ","τὸ","τό","ὁ"
43,01,05,"N","NSN","φῶς","φῶς","φῶς","φῶς"
43,01,05,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
43,01,05,"RA","DSF","τῇ","τῇ","τῇ","ὁ"
43,01,05,"N","DSF","σκοτίᾳ","σκοτίᾳ","σκοτίᾳ","σκοτία"
43,01,05,"V","3PAI-S","φαίνει,","φαίνει","φαίνει","φαίνω"
43,01,05,"C",NULL,"καὶ","καὶ","καί","καί"
43,01,05,"RA","NSF","ἡ","ἡ","ἡ","ὁ"
43,01,05,"N","NSF","σκοτία","σκοτία","σκοτία","σκοτία"
43,01,05,"RP","ASN","αὐτὸ","αὐτὸ","αὐτό","αὐτός"
43,01,05,"D",NULL,"οὐ","οὐ","οὐ","οὐ"
43,01,05,"V","3AAI-S","κατέλαβεν.","κατέλαβεν","κατέλαβε(ν)","καταλαμβάνω"
43,01,06,"V","3AMI-S","Ἐγένετο","Ἐγένετο","ἐγένετο","γίνομαι"
43,01,06,"N","NSM","ἄνθρωπος","ἄνθρωπος","ἄνθρωπος","ἄνθρωπος"
43,01,06,"V","XPPNSM","ἀπεσταλμένος","ἀπεσταλμένος","ἀπεσταλμένος","ἀποστέλλω"
43,01,06,"P",NULL,"παρὰ","παρὰ","παρά","παρά"
43,01,06,"N","GSM","θεοῦ,","θεοῦ","θεοῦ","θεός"
43,01,06,"N","NSN","ὄνομα","ὄνομα","ὄνομα","ὄνομα"
43,01,06,"RP","DSM","αὐτῷ","αὐτῷ","αὐτῷ","αὐτός"
43,01,06,"N","NSM","Ἰωάννης·","Ἰωάννης","Ἰωάννης","Ἰωάννης"
43,01,07,"RD","NSM","οὗτος","οὗτος","οὗτος","οὗτος"
43,01,07,"V","3AAI-S","ἦλθεν","ἦλθεν","ἦλθε(ν)","ἔρχομαι"
43,01,07,"P",NULL,"εἰς","εἰς","εἰς","εἰς"
43,01,07,"N","ASF","μαρτυρίαν,","μαρτυρίαν","μαρτυρίαν","μαρτυρία"
43,01,07,"C",NULL,"ἵνα","ἵνα","ἵνα","ἵνα"
43,01,07,"V","3AAS-S","μαρτυρήσῃ","μαρτυρήσῃ","μαρτυρήσῃ","μαρτυρέω"
43,01,07,"P",NULL,"περὶ","περὶ","περί","περί"
43,01,07,"RA","GSN","τοῦ","τοῦ","τοῦ","ὁ"
43,01,07,"N","GSN","φωτός,","φωτός","φωτός","φῶς"
43,01,07,"C",NULL,"ἵνα","ἵνα","ἵνα","ἵνα"
43,01,07,"A","NPM","πάντες","πάντες","πάντες","πᾶς"
43,01,07,"V","3AAS-P","πιστεύσωσιν","πιστεύσωσιν","πιστεύσωσι(ν)","πιστεύω"
43,01,07,"P",NULL,"δι’","δι’","διά","διά"
43,01,07,"RP","GSM","αὐτοῦ.","αὐτοῦ","αὐτοῦ","αὐτός"
43,01,08,"D",NULL,"οὐκ","οὐκ","οὐ","οὐ"
43,01,08,"V","3IAI-S","ἦν","ἦν","ἦν","εἰμί"
43,01,08,"RD","NSM","ἐκεῖνος","ἐκεῖνος","ἐκεῖνος","ἐκεῖνος"
43,01,08,"RA","NSN","τὸ","τὸ","τό","ὁ"
43,01,08,"N","NSN","φῶς,","φῶς","φῶς","φῶς"
43,01,08,"C",NULL,"ἀλλ’","ἀλλ’","ἀλλά","ἀλλά"
43,01,08,"C",NULL,"ἵνα","ἵνα","ἵνα","ἵνα"
43,01,08,"V","3AAS-S","μαρτυρήσῃ","μαρτυρήσῃ","μαρτυρήσῃ","μαρτυρέω"
43,01,08,"P",NULL,"περὶ","περὶ","περί","περί"
43,01,08,"RA","GSN","τοῦ","τοῦ","τοῦ","ὁ"
43,01,08,"N","GSN","φωτός.","φωτός","φωτός","φῶς"
43,01,09,"V","3IAI-S","ἦν","ἦν","ἦν","εἰμί"
43,01,09,"RA","NSN","τὸ","τὸ","τό","ὁ"
43,01,09,"N","NSN","φῶς","φῶς","φῶς","φῶς"
43,01,09,"RA","NSN","τὸ","τὸ","τό","ὁ"
43,01,09,"A","NSN","ἀληθινὸν","ἀληθινὸν","ἀληθινόν","ἀληθινός"
43,01,09,"RR","NSN","ὃ","ὃ","ὅ","ὅς"
43,01,09,"V","3PAI-S","φωτίζει","φωτίζει","φωτίζει","φωτίζω"
43,01,09,"A","ASM","πάντα","πάντα","πάντα","πᾶς"
43,01,09,"N","ASM","ἄνθρωπον","ἄνθρωπον","ἄνθρωπον","ἄνθρωπος"
43,01,09,"V","PMPASM","ἐρχόμενον","ἐρχόμενον","ἐρχόμενον","ἔρχομαι"
43,01,09,"P",NULL,"εἰς","εἰς","εἰς","εἰς"
43,01,09,"RA","ASM","τὸν","τὸν","τόν","ὁ"
43,01,09,"N","ASM","κόσμον.","κόσμον","κόσμον","κόσμος"
43,01,10,"P",NULL,"Ἐν","Ἐν","ἐν","ἐν"
43,01,10,"RA","DSM","τῷ","τῷ","τῷ","ὁ"
43,01,10,"N","DSM","κόσμῳ","κόσμῳ","κόσμῳ","κόσμος"
43,01,10,"V","3IAI-S","ἦν,","ἦν","ἦν","εἰμί"
43,01,10,"C",NULL,"καὶ","καὶ","καί","καί"
43,01,10,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
43,01,10,"N","NSM","κόσμος","κόσμος","κόσμος","κόσμος"
43,01,10,"P",NULL,"δι’","δι’","διά","διά"
43,01,10,"RP","GSM","αὐτοῦ","αὐτοῦ","αὐτοῦ","αὐτός"
43,01,10,"V","3AMI-S","ἐγένετο,","ἐγένετο","ἐγένετο","γίνομαι"
43,01,10,"C",NULL,"καὶ","καὶ","καί","καί"
43,01,10,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
43,01,10,"N","NSM","κόσμος","κόσμος","κόσμος","κόσμος"
43,01,10,"RP","ASM","αὐτὸν","αὐτὸν","αὐτόν","αὐτός"
43,01,10,"D",NULL,"οὐκ","οὐκ","οὐ","οὐ"
43,01,10,"V","3AAI-S","ἔγνω.","ἔγνω","ἔγνω","γινώσκω"
43,01,11,"P",NULL,"εἰς","εἰς","εἰς","εἰς"
43,01,11,"RA","APN","τὰ","τὰ","τά","ὁ"
43,01,11,"A","APN","ἴδια","ἴδια","ἴδια","ἴδιος"
43,01,11,"V","3AAI-S","ἦλθεν,","ἦλθεν","ἦλθε(ν)","ἔρχομαι"
43,01,11,"C",NULL,"καὶ","καὶ","καί","καί"
43,01,11,"RA","NPM","οἱ","οἱ","οἱ","ὁ"
43,01,11,"A","NPM","ἴδιοι","ἴδιοι","ἴδιοι","ἴδιος"
43,01,11,"RP","ASM","αὐτὸν","αὐτὸν","αὐτόν","αὐτός"
43,01,11,"D",NULL,"οὐ","οὐ","οὐ","οὐ"
43,01,11,"V","3AAI-P","παρέλαβον.","παρέλαβον","παρέλαβον","παραλαμβάνω"
43,01,12,"RR","NPM","ὅσοι","ὅσοι","ὅσοι","ὅσος"
43,01,12,"C",NULL,"δὲ","δὲ","δέ","δέ"
43,01,12,"V","3AAI-P","ἔλαβον","ἔλαβον","ἔλαβον","λαμβάνω"
43,01,12,"RP","ASM","αὐτόν,","αὐτόν","αὐτόν","αὐτός"
43,01,12,"V","3AAI-S","ἔδωκεν","ἔδωκεν","ἔδωκε(ν)","δίδωμι"
43,01,12,"RP","DPM","αὐτοῖς","αὐτοῖς","αὐτοῖς","αὐτός"
43,01,12,"N","ASF","ἐξουσίαν","ἐξουσίαν","ἐξουσίαν","ἐξουσία"
43,01,12,"N","APN","τέκνα","τέκνα","τέκνα","τέκνον"
43,01,12,"N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
43,01,12,"V","AMN","γενέσθαι,","γενέσθαι","γενέσθαι","γίνομαι"
43,01,12,"RA","DPM","τοῖς","τοῖς","τοῖς","ὁ"
43,01,12,"V","PAPDPM","πιστεύουσιν","πιστεύουσιν","πιστεύουσι(ν)","πιστεύω"
43,01,12,"P",NULL,"εἰς","εἰς","εἰς","εἰς"
43,01,12,"RA","ASN","τὸ","τὸ","τό","ὁ"
43,01,12,"N","ASN","ὄνομα","ὄνομα","ὄνομα","ὄνομα"
43,01,12,"RP","GSM","αὐτοῦ,","αὐτοῦ","αὐτοῦ","αὐτός"
43,01,13,"RR","NPM","οἳ","οἳ","οἵ","ὅς"
43,01,13,"D",NULL,"οὐκ","οὐκ","οὐ","οὐ"
43,01,13,"P",NULL,"ἐξ","ἐξ","ἐκ","ἐκ"
43,01,13,"N","GPN","αἱμάτων","αἱμάτων","αἱμάτων","αἷμα"
43,01,13,"C",NULL,"οὐδὲ","οὐδὲ","οὐδέ","οὐδέ"
43,01,13,"P",NULL,"ἐκ","ἐκ","ἐκ","ἐκ"
43,01,13,"N","GSN","θελήματος","θελήματος","θελήματος","θέλημα"
43,01,13,"N","GSF","σαρκὸς","σαρκὸς","σαρκός","σάρξ"
43,01,13,"C",NULL,"οὐδὲ","οὐδὲ","οὐδέ","οὐδέ"
43,01,13,"P",NULL,"ἐκ","ἐκ","ἐκ","ἐκ"
43,01,13,"N","GSN","θελήματος","θελήματος","θελήματος","θέλημα"
43,01,13,"N","GSM","ἀνδρὸς","ἀνδρὸς","ἀνδρός","ἀνήρ"
43,01,13,"C",NULL,"ἀλλ’","ἀλλ’","ἀλλά","ἀλλά"
43,01,13,"P",NULL,"ἐκ","ἐκ","ἐκ","ἐκ"
43,01,13,"N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
43,01,13,"V","3API-P","ἐγεννήθησαν.","ἐγεννήθησαν","ἐγεννήθησαν","γεννάω"
43,01,14,"C",NULL,"Καὶ","Καὶ","καί","καί"
43,01,14,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
43,01,14,"N","NSM","λόγος","λόγος","λόγος","λόγος"
