"book","chapter","verse","part of speech","parsing code","text (including punctuation)","word (with punctuation stripped)","normalized word","lemma"
"44","01","01","RA","ASM","Τὸν","Τὸν","τόν","ὁ"
"44","01","01","X","","μὲν","μὲν","μέν","μέν"
"44","01","01","A","ASM","πρῶτον","πρῶτον","πρῶτον","πρῶτος"
"44","01","01","N","ASM","λόγον","λόγον","λόγον","λόγος"
"44","01","01","V","1AMI-S","ἐποιησάμην","ἐποιησάμην","ἐποιησάμην","ποιέω"
"44","01","01","P","","περὶ","περὶ","περί","περί"
"44","01","01","A","GPN","πάντων,","πάντων","πάντων","πᾶς"
"44","01","01","I","","ὦ","ὦ","ὦ","ὦ"
"44","01","01","N","VSM","Θεόφιλε,","Θεόφιλε","Θεόφιλε","Θεόφιλος"
"44","01","01","RR","GPN","ὧν","ὧν","ὧν","ὅς"
"44","01","01","V","3AMI-S","ἤρξατο","ἤρξατο","ἤρξατο","ἄρχω"
"44","01","01","RA","NSM","⸀ὁ","ὁ","ὁ","ὁ"
"44","01","01","N","NSM","Ἰησοῦς","Ἰησοῦς","Ἰησοῦς","Ἰησοῦς"
"44","01","01","V","PAN","ποιεῖν","ποιεῖν","ποιεῖν","ποιέω"
"44","01","01","C","","τε","τε","τέ","τέ"
"44","01","01","C","","καὶ","καὶ","καί","καί"
"44","01","01","V","PAN","διδάσκειν","διδάσκειν","διδάσκειν","διδάσκω"
"44","01","02","P","","ἄχρι","ἄχρι","ἄχρι","ἄχρι"
"44","01","02","RR","GSF","ἧς","ἧς","ἧς","ὅς"
"44","01","02","N","GSF","ἡμέρας","ἡμέρας","ἡμέρας","ἡμέρα"
"44","01","02","V","AMPNSM","ἐντειλάμενος","ἐντειλάμενος","ἐντειλάμενος","ἐντέλλομαι"
"44","01","02","RA","DPM","τοῖς","τοῖς","τοῖς","ὁ"
"44","01","02","N","DPM","ἀποστόλοις","ἀποστόλοις","ἀποστόλοις","ἀπόστολος"
"44","01","02","P","","διὰ","διὰ","διά","διά"
"44","01","02","N","GSN","πνεύματος","πνεύματος","πνεύματος","πνεῦμα"
"44","01","02","A","GSN","ἁγίου","ἁγίου","ἁγίου","ἅγιος"
"44","01","02","RR","APM","οὓς","οὓς","οὕς","ὅς"
"44","01","02","V","3AMI-S","ἐξελέξατο","ἐξελέξατο","ἐξελέξατο","ἐκλέγομαι"
"44","01","02","V","3API-S","ἀνελήμφθη·","ἀνελήμφθη","ἀνελήμφθη","ἀναλαμβάνω"
"44","01","03","RR","DPM","οἷς","οἷς","οἷς","ὅς"
"44","01","03","D","","καὶ","καὶ","καί","καί"
"44","01","03","V","3AAI-S","παρέστησεν","παρέστησεν","παρέστησε(ν)","παρίστημι"
"44","01","03","RP","ASM","ἑαυτὸν","ἑαυτὸν","ἑαυτόν","ἑαυτοῦ"
"44","01","03","V","PAPASM","ζῶντα","ζῶντα","ζῶντα","ζάω"
