"book","chapter","verse","part of speech","parsing code","text (including punctuation)","word (with punctuation stripped)","normalized word","lemma"
"45","01","01","N","NSM","Παῦλος","Παῦλος","Παῦλος","Παῦλος"
"45","01","01","N","NSM","δοῦλος","δοῦλος","δοῦλος","δοῦλος"
"45","01","01","N","GSM","⸂Χριστοῦ","Χριστοῦ","Χριστοῦ","Χριστός"
"45","01","01","N","GSM","Ἰησοῦ⸃,","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
"45","01","01","A","NSM","κλητὸς","κλητὸς","κλητός","κλητός"
"45","01","01","N","NSM","ἀπόστολος,","ἀπόστολος","ἀπόστολος","ἀπόστολος"
"45","01","01","V","XPPNSM","ἀφωρισμένος","ἀφωρισμένος","ἀφωρισμένος","ἀφορίζω"
"45","01","01","P","","εἰς","εἰς","εἰς","εἰς"
"45","01","01","N","ASN","εὐαγγέλιον","εὐαγγέλιον","εὐαγγέλιον","εὐαγγέλιον"
"45","01","01","N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
"45","01","02","RR","ASN","ὃ","ὃ","ὅ","ὅς"
"45","01","02","V","3AMI-S","προεπηγγείλατο","προεπηγγείλατο","προεπηγγείλατο","προεπαγγέλλομαι"
"45","01","02","P","","διὰ","διὰ","διά","διά"
"45","01","02","RA","GPM","τῶν","τῶν","τῶν","ὁ"
"45","01","02","N","GPM","προφητῶν","προφητῶν","προφητῶν","προφήτης"
"45","01","02","RP","GSM","αὐτοῦ","αὐτοῦ","αὐτοῦ","αὐτός"
"45","01","02","P","","ἐν","ἐν","ἐν","ἐν"
"45","01","02","N","DPF","γραφαῖς","γραφαῖς","γραφαῖς","γραφή"
"45","01","02","A","DPF","ἁγίαις","ἁγίαις","ἁγίαις","ἅγιος"
"45","01","03","P","","περὶ","περὶ","περί","περί"
"45","01","03","RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
"45","01","03","N","GSM","υἱοῦ","υἱοῦ","υἱοῦ","υἱός"
"45","01","03","RP","GSM","αὐτοῦ,","αὐτοῦ","αὐτοῦ","αὐτός"
"45","01","03","RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
"45","01","03","V","AMPGSM","γενομένου","γενομένου","γενομένου","γίνομαι"
"45","01","03","P","","ἐκ","ἐκ","ἐκ","ἐκ"
"45","01","03","N","GSN","σπέρματος","σπέρματος","σπέρματος","σπέρμα"
"45","01","03","N","GSM","Δαυὶδ","Δαυὶδ","Δαυίδ","Δαυίδ"
"45","01","03","P","","κατὰ","κατὰ","κατά","κατά"
"45","01","03","N","ASF","σάρκα,","σάρκα","σάρκα","σάρξ"
"45","01","04","RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
"45","01","04","V","APPGSM","ὁρισθέντος","ὁρισθέντος","ὁρισθέντος","ὁρίζω"
"45","01","04","N","GSM","υἱοῦ","υἱοῦ","υἱοῦ","υἱός"
"45","01","04","N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
"45","01","04","P","","ἐν","ἐν","ἐν","ἐν"
"45","01","04","N","DSF","δυνάμει","δυνάμει","δυνάμει","δύναμις"
"45","01","04","P","","κατὰ","κατὰ","κατά","κατά"
"45","01","04","N","ASN","πνεῦμα","πνεῦμα","πνεῦμα","πνεῦμα"
"45","01","04","N","GSF","ἁγιωσύνης","ἁγιωσύνης","ἁγιωσύνης","ἁγιωσύνη"
"45","01","04","P","","ἐξ","ἐξ","ἐκ","ἐκ"
"45","01","04","N","GSF","ἀναστάσεως","ἀναστάσεως","ἀναστάσεως","ἀνάστασις"
"45","01","04","A","GPM","νεκρῶν,","νεκρῶν","νεκρῶν","νεκρός"
"45","01","04","N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
"45","01","04","N","GSM","Χριστοῦ","Χριστοῦ","Χριστοῦ","Χριστός"
"45","01","04","RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
"45","01","04","N","GSM","κυρίου","κυρίου","κυρίου","κύριος"
"45","01","04","RP","GP","ἡμῶν,","ἡμῶν","ἡμῶν","ἐγώ"
"45","01","05","P","","δι’","δι’","διά","διά"
"45","01","05","RR","GSM","οὗ","οὗ","οὗ","ὅς"
"45","01","05","V","1AAI-P","ἐλάβομεν","ἐλάβομεν","ἐλάβομεν","λαμβάνω"
"45","01","05","N","ASF","χάριν","χάριν","χάριν","χάρις"
"45","01","05","C","","καὶ","καὶ","καί","καί"
"45","01","05","N","ASF","ἀποστολὴν","ἀποστολὴν","ἀποστολήν","ἀποστολή"
"45","01","05","P","","εἰς","εἰς","εἰς","εἰς"
"45","01","05","N","ASF","ὑπακοὴν","ὑπακοὴν","ὑπακοήν","ὑπακοή"
"45","01","05","N","GSF","πίστεως","πίστεως","πίστεως","πίστις"
"45","01","05","P","","ἐν","ἐν","ἐν","ἐν"
"45","01","05","A","DPN","πᾶσιν","πᾶσιν","πᾶσι(ν)","πᾶς"
"45","01","05","RA","DPN","τοῖς","τοῖς","τοῖς","ὁ"
"45","01","05","N","DPN","ἔθνεσιν","ἔθνεσιν","ἔθνεσι(ν)","ἔθνος"
"45","01","05","P","","ὑπὲρ","ὑπὲρ","ὑπέρ","ὑπέρ"
"45","01","05","RA","GSN","τοῦ","τοῦ","τοῦ","ὁ"
"45","01","05","N","GSN","ὀνόματος","ὀνόματος","ὀνόματος","ὄνομα"
"45","01","05","RP","GSM","αὐτοῦ,","αὐτοῦ","αὐτοῦ","αὐτός"
"45","01","06","P","","ἐν","ἐν","ἐν","ἐν"
"45","01","06","RR","DPN","οἷς","οἷς","οἷς","ὅς"
"45","01","06","V","2PAI-P","ἐστε","ἐστε","ἐστέ","εἰμί"
"45","01","06","D","","καὶ","καὶ","καί","καί"
"45","01","06","RP","NP","ὑμεῖς","ὑμεῖς","ὑμεῖς","σύ"
"45","01","06","A","NPM","κλητοὶ","κλητοὶ","κλητοί","κλητός"
"45","01","06","N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
"45","01","06","N","GSM","Χριστοῦ,","Χριστοῦ","Χριστοῦ","Χριστός"
"45","01","07","A","DPM","πᾶσιν","πᾶσιν","πᾶσι(ν)","πᾶς"
"45","01","07","RA","DPM","τοῖς","τοῖς","τοῖς","ὁ"
"45","01","07","V","PAPDPM","οὖσιν","οὖσιν","οὖσι(ν)","εἰμί"
"45","01","07","P","","ἐν","ἐν","ἐν","ἐν"
"45","01","07","N","DSF","Ῥώμῃ","Ῥώμῃ","Ῥώμῃ","Ῥώμη"
"45","01","07","A","DPM","ἀγαπητοῖς","ἀγαπητοῖς","ἀγαπητοῖς","ἀγαπητός"
"45","01","07","N","GSM","θεοῦ,","θεοῦ","θεοῦ","θεός"
"45","01","07","A","DPM","κλητοῖς","κλητοῖς","κλητοῖς","κλητός"
"45","01","07","A","DPM","ἁγίοις·","ἁγίοις","ἁγίοις","ἅγιος"
"45","01","07","N","NSF","χάρις","χάρις","χάρις","χάρις"
"45","01","07","RP","DP","ὑμῖν","ὑμῖν","ὑμῖν","σύ"
"45","01","07","C","","καὶ","καὶ","καί","καί"
"45","01","07","N","NSF","εἰρήνη","εἰρήνη","εἰρήνη","εἰρήνη"
"45","01","07","P","","ἀπὸ","ἀπὸ","ἀπό","ἀπό"
"45","01","07","N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
"45","01","07","N","GSM","πατρὸς","πατρὸς","πατρός","πατήρ"
"45","01","07","RP","GP","ἡμῶν","ἡμῶν","ἡμῶν","ἐγώ"
"45","01","07","C","","καὶ","καὶ","καί","καί"
"45","01","07","N","GSM","κυρίου","κυρίου","κυρίου","κύριος"
"45","01","07","N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
"45","01","07","N","GSM","Χριστοῦ.","Χριστοῦ","Χριστοῦ","Χριστός"
"45","01","08","A","ASN","Πρῶτον","Πρῶτον","πρῶτον","πρῶτος"
"45","01","08","C","","μὲν","μὲν","μέν","μέν"
"45","01","08","V","1PAI-S","εὐχαριστῶ","εὐχαριστῶ","εὐχαριστῶ","εὐχαριστέω"
"45","01","08","RA","DSM","τῷ","τῷ","τῷ","ὁ"
"45","01","08","N","DSM","θεῷ","θεῷ","θεῷ","θεός"
"45","01","08","RP","GS","μου","μου","μου","ἐγώ"
"45","01","08","P","","διὰ","διὰ","διά","διά"
"45","01","08","N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
"45","01","08","N","GSM","Χριστοῦ","Χριστοῦ","Χριστοῦ","Χριστός"
"45","01","08","P","","⸀περὶ","περὶ","περί","περί"
"45","01","08","A","GPM","πάντων","πάντων","πάντων","πᾶς"
"45","01","08","RP","GP","ὑμῶν,","ὑμῶν","ὑμῶν","σύ"
"45","01","08","C","","ὅτι","ὅτι","ὅτι","ὅτι"
"45","01","08","RA","NSF","ἡ","ἡ","ἡ","ὁ"
"45","01","08","N","NSF","πίστις","πίστις","πίστις","πίστις"
"45","01","08","RP","GP","ὑμῶν","ὑμῶν","ὑμῶν","σύ"
"45","01","08","V","3PPI-S","καταγγέλλεται","καταγγέλλεται","καταγγέλλεται","καταγγέλλω"
"45","01","08","P","","ἐν","ἐν","ἐν","ἐν"
"45","01","08","A","DSM","ὅλῳ","ὅλῳ","ὅλῳ","ὅλος"
"45","01","08","RA","DSM","τῷ","τῷ","τῷ","ὁ"
"45","01","08","N","DSM","κόσμῳ.","κόσμῳ","κόσμῳ","κόσμος"
"45","01","09","N","NSM","μάρτυς","μάρτυς","μάρτυς","μάρτυς"
"45","01","09","C","","γάρ","γάρ","γάρ","γάρ"
"45","01","09","RP","GS","μού","μού","μου","ἐγώ"
"45","01","09","V","3PAI-S","ἐστιν","ἐστιν","ἐστί(ν)","εἰμί"
"45","01","09","RA","NSM","ὁ","ὁ","ὁ","ὁ"
"45","01","09","N","NSM","θεός,","θεός","θεός","θεός"
"45","01","09","RR","DSM","ᾧ","ᾧ","ᾧ","ὅς"
"45","01","09","V","1PAI-S","λατρεύω","λατρεύω","λατρεύω","λατρεύω"
"45","01","09","P","","ἐν","ἐν","ἐν","ἐν"
"45","01","09","RA","DSN","τῷ","τῷ","τῷ","ὁ"
"45","01","09","N","DSN","πνεύματί","πνεύματί","πνεύματι","πνεῦμα"
"45","01","09","RP","GS","μου","μου","μου","ἐγώ"
"45","01","09","P","","ἐν","ἐν","ἐν","ἐν"
"45","01","09","RA","DSN","τῷ","τῷ","τῷ","ὁ"
"45","01","09","N","DSN","εὐαγγελίῳ","εὐαγγελίῳ","εὐαγγελίῳ","εὐαγγέλιον"
"45","01","09","RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
"45","01","09","N","GSM","υἱοῦ","υἱοῦ","υἱοῦ","υἱός"
"45","01","09","RP","GSM","αὐτοῦ,","αὐτοῦ","αὐτοῦ","αὐτός"
"45","01","09","D","","ὡς","ὡς","ὡς","ὡς"
"45","01","09","D","","ἀδιαλείπτως","ἀδιαλείπτως","ἀδιαλείπτως","ἀδιαλείπτως"
"45","01","09","N","ASF","μνείαν","μνείαν","μνείαν","μνεία"
"45","01","09","RP","GP","ὑμῶν","ὑμῶν","ὑμῶν","σύ"
"45","01","09","V","1PMI-S","ποιοῦμαι","ποιοῦμαι","ποιοῦμαι","ποιέω"
"45","01","10","D","","πάντοτε","πάντοτε","πάντοτε","πάντοτε"
"45","01","10","P","","ἐπὶ","ἐπὶ","ἐπί","ἐπί"
"45","01","10","RA","GPF","τῶν","τῶν","τῶν","ὁ"
