"book","chapter","verse","part of speech","parsing code","text (including punctuation)","word (with punctuation stripped)","normalized word","lemma"
"46","01","01","N","NSM","Παῦλος","Παῦλος","Παῦλος","Παῦλος"
"46","01","01","A","NSM","κλητὸς","κλητὸς","κλητός","κλητός"
"46","01","01","N","NSM","ἀπόστολος","ἀπόστολος","ἀπόστολος","ἀπόστολος"
"46","01","01","N","GSM","⸂Χριστοῦ","Χριστοῦ","Χριστοῦ","Χριστός"
"46","01","01","N","GSM","Ἰησοῦ⸃","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
"46","01","01","P","","διὰ","διὰ","διά","διά"
"46","01","01","N","GSN","θελήματος","θελήματος","θελήματος","θέλημα"
"46","01","01","N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
"46","01","01","C","","καὶ","καὶ","καί","καί"
"46","01","01","N","NSM","Σωσθένης","Σωσθένης","Σωσθένης","Σωσθένης"
"46","01","01","RA","NSM","ὁ","ὁ","ὁ","ὁ"
"46","01","01","N","NSM","ἀδελφὸς","ἀδελφὸς","ἀδελφός","ἀδελφός"
"46","01","02","RA","DSF","τῇ","τῇ","τῇ","ὁ"
"46","01","02","N","DSF","ἐκκλησίᾳ","ἐκκλησίᾳ","ἐκκλησίᾳ","ἐκκλησία"
"46","01","02","RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
"46","01","02","N","GSM","θεοῦ,","θεοῦ","θεοῦ","θεός"
"46","01","02","V","XPPDPM","⸂ἡγιασμένοις","ἡγιασμένοις","ἡγιασμένοις","ἁγιάζω"
"46","01","02","P","","ἐν","ἐν","ἐν","ἐν"
"46","01","02","N","DSM","Χριστῷ","Χριστῷ","Χριστῷ","Χριστός"
"46","01","02","N","DSM","Ἰησοῦ,","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
"46","01","02","RA","DSF","τῇ","τῇ","τῇ","ὁ"
"46","01","02","V","PAPDSF","οὔσῃ","οὔσῃ","οὔσῃ","εἰμί"
"46","01","02","P","","ἐν","ἐν","ἐν","ἐν"
"46","01","02","N","DSF","Κορίνθῳ,⸃","Κορίνθῳ","Κορίνθῳ","Κόρινθος"
"46","01","02","A","DPM","κλητοῖς","κλητοῖς","κλητοῖς","κλητός"
"46","01","02","A","DPM","ἁγίοις,","ἁγίοις","ἁγίοις","ἅγιος"
"46","01","02","P","","σὺν","σὺν","σύν","σύν"
"46","01","02","A","DPM","πᾶσιν","πᾶσιν","πᾶσι(ν)","πᾶς"
"46","01","02","RA","DPM","τοῖς","τοῖς","τοῖς","ὁ"
"46","01","02","V","PMPDPM","ἐπικαλουμένοις","ἐπικαλουμένοις","ἐπικαλουμένοις","ἐπικαλέω"
"46","01","02","RA","ASN","τὸ","τὸ","τό","ὁ"
"46","01","02","N","ASN","ὄνομα","ὄνομα","ὄνομα","ὄνομα"
"46","01","02","RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
"46","01","02","N","GSM","κυρίου","κυρίου","κυρίου","κύριος"
"46","01","02","RP","GP","ἡμῶν","ἡμῶν","ἡμῶν","ἐγώ"
"46","01","02","N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
"46","01","02","N","GSM","Χριστοῦ","Χριστοῦ","Χριστοῦ","Χριστός"
"46","01","02","P","","ἐν","ἐν","ἐν","ἐν"
"46","01","02","A","DSM","παντὶ","παντὶ","παντί","πᾶς"
"46","01","02","N","DSM","τόπῳ","τόπῳ","τόπῳ","τόπος"
"46","01","02","RP","GPM","⸀αὐτῶν","αὐτῶν","αὐτῶν","αὐτός"
"46","01","02","C","","καὶ","καὶ","καί","καί"
"46","01","02","RP","GP","ἡμῶν·","ἡμῶν","ἡμῶν","ἐγώ"
"46","01","03","N","NSF","χάρις","χάρις","χάρις","χάρις"
"46","01","03","RP","DP","ὑμῖν","ὑμῖν","ὑμῖν","σύ"
"46","01","03","C","","καὶ","καὶ","καί","καί"
"46","01","03","N","NSF","εἰρήνη","εἰρήνη","εἰρήνη","εἰρήνη"
"46","01","03","P","","ἀπὸ","ἀπὸ","ἀπό","ἀπό"
"46","01","03","N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
"46","01","03","N","GSM","πατρὸς","πατρὸς","πατρός","πατήρ"
"46","01","03","RP","GP","ἡμῶν","ἡμῶν","ἡμῶν","ἐγώ"
"46","01","03","C","","καὶ","καὶ","καί","καί"
"46","01","03","N","GSM","κυρίου","κυρίου","κυρίου","κύριος"
"46","01","03","N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
"46","01","03","N","GSM","Χριστοῦ.","Χριστοῦ","Χριστοῦ","Χριστός"
"46","01","04","V","1PAI-S","Εὐχαριστῶ","Εὐχαριστῶ","εὐχαριστῶ","εὐχαριστέω"
"46","01","04","RA","DSM","τῷ","τῷ","τῷ","ὁ"
"46","01","04","N","DSM","θεῷ","θεῷ","θεῷ","θεός"
"46","01","04","RP","GS","⸀μου","μου","μου","ἐγώ"
"46","01","04","D","","πάντοτε","πάντοτε","πάντοτε","πάντοτε"
"46","01","04","P","","περὶ","περὶ","περί","περί"
"46","01","04","RP","GP","ὑμῶν","ὑμῶν","ὑμῶν","σύ"
"46","01","04","P","","ἐπὶ","ἐπὶ","ἐπί","ἐπί"
"46","01","04","RA","DSF","τῇ","τῇ","τῇ","ὁ"
"46","01","04","N","DSF","χάριτι","χάριτι","χάριτι","χάρις"
"46","01","04","RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
"46","01","04","N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
"46","01","04","RA","DSF","τῇ","τῇ","τῇ","ὁ"
"46","01","04","V","APPDSF","δοθείσῃ","δοθείσῃ","δοθείσῃ","δίδωμι"
"46","01","04","RP","DP","ὑμῖν","ὑμῖν","ὑμῖν","σύ"
"46","01","04","P","","ἐν","ἐν","ἐν","ἐν"
