"OSIS_id","Chapter","Verse","ParsingCodePOS","ParsingCodeDetails","TextWithPunctuation","WordWithPunctuationStripped","NormalizedWord","Lemma"
47,01,01,"N","NSM","Παῦλος","Παῦλος","Παῦλος","Παῦλος"
47,01,01,"N","NSM","ἀπόστολος","ἀπόστολος","ἀπόστολος","ἀπόστολος"
47,01,01,"N","GSM","⸂Χριστοῦ","Χριστοῦ","Χριστοῦ","Χριστός"
47,01,01,"N","GSM","Ἰησοῦ⸃","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
47,01,01,"P",NULL,"διὰ","διὰ","διά","διά"
47,01,01,"N","GSN","θελήματος","θελήματος","θελήματος","θέλημα"
47,01,01,"N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
47,01,01,"C",NULL,"καὶ","καὶ","καί","καί"
47,01,01,"N","NSM","Τιμόθεος","Τιμόθεος","Τιμόθεος","Τιμόθεος"
47,01,01,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
47,01,01,"N","NSM","ἀδελφὸς","ἀδελφὸς","ἀδελφός","ἀδελφός"
47,01,01,"RA","DSF","τῇ","τῇ","τῇ","ὁ"
47,01,01,"N","DSF","ἐκκλησίᾳ","ἐκκλησίᾳ","ἐκκλησίᾳ","ἐκκλησία"
47,01,01,"RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
47,01,01,"N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
47,01,01,"RA","DSF","τῇ","τῇ","τῇ","ὁ"
47,01,01,"V","PAPDSF","οὔσῃ","οὔσῃ","οὔσῃ","εἰμί"
47,01,01,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
47,01,01,"N","DSF","Κορίνθῳ,","Κορίνθῳ","Κορίνθῳ","Κόρινθος"
47,01,01,"P",NULL,"σὺν","σὺν","σύν","σύν"
47,01,01,"RA","DPM","τοῖς","τοῖς","τοῖς","ὁ"
47,01,01,"A","DPM","ἁγίοις","ἁγίοις","ἁγίοις","ἅγιος"
47,01,01,"A","DPM","πᾶσιν","πᾶσιν","πᾶσι(ν)","πᾶς"
47,01,01,"RA","DPM","τοῖς","τοῖς","τοῖς","ὁ"
47,01,01,"V","PAPDPM","οὖσιν","οὖσιν","οὖσι(ν)","εἰμί"
47,01,01,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
47,01,01,"A","DSF","ὅλῃ","ὅλῃ","ὅλῃ","ὅλος"
47,01,01,"RA","DSF","τῇ","τῇ","τῇ","ὁ"
47,01,01,"N","DSF","Ἀχαΐᾳ·","Ἀχαΐᾳ","Ἀχαΐᾳ","Ἀχαΐα"
47,01,02,"N","NSF","χάρις","χάρις","χάρις","χάρις"
47,01,02,"RP","DP","ὑμῖν","ὑμῖν","ὑμῖν","σύ"
47,01,02,"C",NULL,"καὶ","καὶ","καί","καί"
47,01,02,"N","NSF","εἰρήνη","εἰρήνη","εἰρήνη","εἰρήνη"
47,01,02,"P",NULL,"ἀπὸ","ἀπὸ","ἀπό","ἀπό"
47,01,02,"N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
47,01,02,"N","GSM","πατρὸς","πατρὸς","πατρός","πατήρ"
47,01,02,"RP","GP","ἡμῶν","ἡμῶν","ἡμῶν","ἐγώ"
47,01,02,"C",NULL,"καὶ","καὶ","καί","καί"
47,01,02,"N","GSM","κυρίου","κυρίου","κυρίου","κύριος"
47,01,02,"N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
47,01,02,"N","GSM","Χριστοῦ.","Χριστοῦ","Χριστοῦ","Χριστός"
47,01,03,"A","NSM","Εὐλογητὸς","Εὐλογητὸς","εὐλογητός","εὐλογητός"
47,01,03,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
47,01,03,"N","NSM","θεὸς","θεὸς","θεός","θεός"
47,01,03,"C",NULL,"καὶ","καὶ","καί","καί"
47,01,03,"N","NSM","πατὴρ","πατὴρ","πατήρ","πατήρ"
47,01,03,"RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
47,01,03,"N","GSM","κυρίου","κυρίου","κυρίου","κύριος"
47,01,03,"RP","GP","ἡμῶν","ἡμῶν","ἡμῶν","ἐγώ"
47,01,03,"N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
47,01,03,"N","GSM","Χριστοῦ,","Χριστοῦ","Χριστοῦ","Χριστός"
47,01,03,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
47,01,03,"N","NSM","πατὴρ","πατὴρ","πατήρ","πατήρ"
47,01,03,"RA","GPM","τῶν","τῶν","τῶν","ὁ"
47,01,03,"N","GPM","οἰκτιρμῶν","οἰκτιρμῶν","οἰκτιρμῶν","οἰκτιρμός"
47,01,03,"C",NULL,"καὶ","καὶ","καί","καί"
47,01,03,"N","NSM","θεὸς","θεὸς","θεός","θεός"
47,01,03,"A","GSF","πάσης","πάσης","πάσης","πᾶς"
47,01,03,"N","GSF","παρακλήσεως,","παρακλήσεως","παρακλήσεως","παράκλησις"
47,01,04,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
47,01,04,"V","PAPNSM","παρακαλῶν","παρακαλῶν","παρακαλῶν","παρακαλέω"
47,01,04,"RP","AP","ἡμᾶς","ἡμᾶς","ἡμᾶς","ἐγώ"
47,01,04,"P",NULL,"ἐπὶ","ἐπὶ","ἐπί","ἐπί"
47,01,04,"A","DSF","πάσῃ","πάσῃ","πάσῃ","πᾶς"
47,01,04,"RA","DSF","τῇ","τῇ","τῇ","ὁ"
47,01,04,"N","DSF","θλίψει","θλίψει","θλίψει","θλῖψις"
47,01,04,"RP","GP","ἡμῶν,","ἡμῶν","ἡμῶν","ἐγώ"
47,01,04,"P",NULL,"εἰς","εἰς","εἰς","εἰς"
47,01,04,"RA","ASN","τὸ","τὸ","τό","ὁ"
