"book","chapter","verse","part of speech","parsing code","text (including punctuation)","word (with punctuation stripped)","normalized word","lemma"
"49","01","01","N","NSM","Παῦλος","Παῦλος","Παῦλος","Παῦλος"
"49","01","01","N","NSM","ἀπόστολος","ἀπόστολος","ἀπόστολος","ἀπόστολος"
"49","01","01","N","GSM","⸂Χριστοῦ","Χριστοῦ","Χριστοῦ","Χριστός"
"49","01","01","N","GSM","Ἰησοῦ⸃","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
"49","01","01","P","","διὰ","διὰ","διά","διά"
"49","01","01","N","GSN","θελήματος","θελήματος","θελήματος","θέλημα"
"49","01","01","N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
"49","01","01","RA","DPM","τοῖς","τοῖς","τοῖς","ὁ"
"49","01","01","A","DPM","ἁγίοις","ἁγίοις","ἁγίοις","ἅγιος"
"49","01","01","RA","DPM","τοῖς","τοῖς","τοῖς","ὁ"
"49","01","01","V","PAPDPM","οὖσιν","οὖσιν","οὖσι(ν)","εἰμί"
"49","01","01","P","","⸂[ἐν","ἐν","ἐν","ἐν"
"49","01","01","N","DSF","Ἐφέσῳ]⸃","Ἐφέσῳ","Ἐφέσῳ","Ἔφεσος"
"49","01","01","C","","καὶ","καὶ","καί","καί"
"49","01","01","A","DPM","πιστοῖς","πιστοῖς","πιστοῖς","πιστός"
"49","01","01","P","","ἐν","ἐν","ἐν","ἐν"
"49","01","01","N","DSM","Χριστῷ","Χριστῷ","Χριστῷ","Χριστός"
"49","01","01","N","DSM","Ἰησοῦ·","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
"49","01","02","N","NSF","χάρις","χάρις","χάρις","χάρις"
"49","01","02","RP","DP","ὑμῖν","ὑμῖν","ὑμῖν","σύ"
"49","01","02","C","","καὶ","καὶ","καί","καί"
"49","01","02","N","NSF","εἰρήνη","εἰρήνη","εἰρήνη","εἰρήνη"
"49","01","02","P","","ἀπὸ","ἀπὸ","ἀπό","ἀπό"
"49","01","02","N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
"49","01","02","N","GSM","πατρὸς","πατρὸς","πατρός","πατήρ"
"49","01","02","RP","GP","ἡμῶν","ἡμῶν","ἡμῶν","ἐγώ"
"49","01","02","C","","καὶ","καὶ","καί","καί"
"49","01","02","N","GSM","κυρίου","κυρίου","κυρίου","κύριος"
