"book","chapter","verse","part of speech","parsing code","text (including punctuation)","word (with punctuation stripped)","normalized word","lemma"
"50","01","01","N","NSM","Παῦλος","Παῦλος","Παῦλος","Παῦλος"
"50","01","01","C","","καὶ","καὶ","καί","καί"
"50","01","01","N","NSM","Τιμόθεος","Τιμόθεος","Τιμόθεος","Τιμόθεος"
"50","01","01","N","NPM","δοῦλοι","δοῦλοι","δοῦλοι","δοῦλος"
"50","01","01","N","GSM","⸂Χριστοῦ","Χριστοῦ","Χριστοῦ","Χριστός"
"50","01","01","N","GSM","Ἰησοῦ⸃","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
"50","01","01","A","DPM","πᾶσιν","πᾶσιν","πᾶσι(ν)","πᾶς"
"50","01","01","RA","DPM","τοῖς","τοῖς","τοῖς","ὁ"
"50","01","01","A","DPM","ἁγίοις","ἁγίοις","ἁγίοις","ἅγιος"
"50","01","01","P","","ἐν","ἐν","ἐν","ἐν"
"50","01","01","N","DSM","Χριστῷ","Χριστῷ","Χριστῷ","Χριστός"
"50","01","01","N","DSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
"50","01","01","RA","DPM","τοῖς","τοῖς","τοῖς","ὁ"
"50","01","01","V","PAPDPM","οὖσιν","οὖσιν","οὖσι(ν)","εἰμί"
"50","01","01","P","","ἐν","ἐν","ἐν","ἐν"
"50","01","01","N","DPM","Φιλίπποις","Φιλίπποις","Φιλίπποις","Φίλιπποι"
"50","01","01","P","","σὺν","σὺν","σύν","σύν"
"50","01","01","N","DPM","ἐπισκόποις","ἐπισκόποις","ἐπισκόποις","ἐπίσκοπος"
"50","01","01","C","","καὶ","καὶ","καί","καί"
"50","01","01","N","DPM","διακόνοις·","διακόνοις","διακόνοις","διάκονος"
"50","01","02","N","NSF","χάρις","χάρις","χάρις","χάρις"
"50","01","02","RP","DP","ὑμῖν","ὑμῖν","ὑμῖν","σύ"
"50","01","02","C","","καὶ","καὶ","καί","καί"
"50","01","02","N","NSF","εἰρήνη","εἰρήνη","εἰρήνη","εἰρήνη"
"50","01","02","P","","ἀπὸ","ἀπὸ","ἀπό","ἀπό"
"50","01","02","N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
"50","01","02","N","GSM","πατρὸς","πατρὸς","πατρός","πατήρ"
"50","01","02","RP","GP","ἡμῶν","ἡμῶν","ἡμῶν","ἐγώ"
"50","01","02","C","","καὶ","καὶ","καί","καί"
"50","01","02","N","GSM","κυρίου","κυρίου","κυρίου","κύριος"
"50","01","02","N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
"50","01","02","N","GSM","Χριστοῦ.","Χριστοῦ","Χριστοῦ","Χριστός"
"50","01","03","V","1PAI-S","Εὐχαριστῶ","Εὐχαριστῶ","εὐχαριστῶ","εὐχαριστέω"
"50","01","03","RA","DSM","τῷ","τῷ","τῷ","ὁ"
"50","01","03","N","DSM","θεῷ","θεῷ","θεῷ","θεός"
"50","01","03","RP","GS","μου","μου","μου","ἐγώ"
"50","01","03","P","","ἐπὶ","ἐπὶ","ἐπί","ἐπί"
"50","01","03","A","DSF","πάσῃ","πάσῃ","πάσῃ","πᾶς"
"50","01","03","RA","DSF","τῇ","τῇ","τῇ","ὁ"
"50","01","03","N","DSF","μνείᾳ","μνείᾳ","μνείᾳ","μνεία"
"50","01","03","RP","GP","ὑμῶν","ὑμῶν","ὑμῶν","σύ"
"50","01","04","D","","πάντοτε","πάντοτε","πάντοτε","πάντοτε"
"50","01","04","P","","ἐν","ἐν","ἐν","ἐν"
"50","01","04","A","DSF","πάσῃ","πάσῃ","πάσῃ","πᾶς"
"50","01","04","N","DSF","δεήσει","δεήσει","δεήσει","δέησις"
"50","01","04","RP","GS","μου","μου","μου","ἐγώ"
"50","01","04","P","","ὑπὲρ","ὑπὲρ","ὑπέρ","ὑπέρ"
"50","01","04","A","GPM","πάντων","πάντων","πάντων","πᾶς"
"50","01","04","RP","GP","ὑμῶν,","ὑμῶν","ὑμῶν","σύ"
"50","01","04","P","","μετὰ","μετὰ","μετά","μετά"
"50","01","04","N","GSF","χαρᾶς","χαρᾶς","χαρᾶς","χαρά"
"50","01","04","RA","ASF","τὴν","τὴν","τήν","ὁ"
