"OSIS_id","Chapter","Verse","ParsingCodePOS","ParsingCodeDetails","TextWithPunctuation","WordWithPunctuationStripped","NormalizedWord","Lemma"
51,01,01,"N","NSM","Παῦλος","Παῦλος","Παῦλος","Παῦλος"
51,01,01,"N","NSM","ἀπόστολος","ἀπόστολος","ἀπόστολος","ἀπόστολος"
51,01,01,"N","GSM","⸂Χριστοῦ","Χριστοῦ","Χριστοῦ","Χριστός"
51,01,01,"N","GSM","Ἰησοῦ⸃","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
51,01,01,"P",NULL,"διὰ","διὰ","διά","διά"
51,01,01,"N","GSN","θελήματος","θελήματος","θελήματος","θέλημα"
51,01,01,"N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
51,01,01,"C",NULL,"καὶ","καὶ","καί","καί"
51,01,01,"N","NSM","Τιμόθεος","Τιμόθεος","Τιμόθεος","Τιμόθεος"
51,01,01,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
51,01,01,"N","NSM","ἀδελφὸς","ἀδελφὸς","ἀδελφός","ἀδελφός"
51,01,02,"RA","DPM","τοῖς","τοῖς","τοῖς","ὁ"
51,01,02,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
51,01,02,"N","DPF","⸀Κολοσσαῖς","Κολοσσαῖς","Κολοσσαῖς","Κολοσσαί"
51,01,02,"A","DPM","ἁγίοις","ἁγίοις","ἁγίοις","ἅγιος"
51,01,02,"C",NULL,"καὶ","καὶ","καί","καί"
51,01,02,"A","DPM","πιστοῖς","πιστοῖς","πιστοῖς","πιστός"
51,01,02,"N","DPM","ἀδελφοῖς","ἀδελφοῖς","ἀδελφοῖς","ἀδελφός"
51,01,02,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
51,01,02,"N","DSM","Χριστῷ·","Χριστῷ","Χριστῷ","Χριστός"
51,01,02,"N","NSF","χάρις","χάρις","χάρις","χάρις"
51,01,02,"RP","DP","ὑμῖν","ὑμῖν","ὑμῖν","σύ"
51,01,02,"C",NULL,"καὶ","καὶ","καί","καί"
51,01,02,"N","NSF","εἰρήνη","εἰρήνη","εἰρήνη","εἰρήνη"
51,01,02,"P",NULL,"ἀπὸ","ἀπὸ","ἀπό","ἀπό"
51,01,02,"N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
51,01,02,"N","GSM","πατρὸς","πατρὸς","πατρός","πατήρ"
51,01,02,"RP","GP","⸀ἡμῶν.","ἡμῶν","ἡμῶν","ἐγώ"
51,01,03,"V","1PAI-P","Εὐχαριστοῦμεν","Εὐχαριστοῦμεν","εὐχαριστοῦμεν","εὐχαριστέω"
51,01,03,"RA","DSM","τῷ","τῷ","τῷ","ὁ"
51,01,03,"N","DSM","⸀θεῷ","θεῷ","θεῷ","θεός"
51,01,03,"N","DSM","πατρὶ","πατρὶ","πατρί","πατήρ"
51,01,03,"RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
51,01,03,"N","GSM","κυρίου","κυρίου","κυρίου","κύριος"
51,01,03,"RP","GP","ἡμῶν","ἡμῶν","ἡμῶν","ἐγώ"
51,01,03,"N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
51,01,03,"N","GSM","Χριστοῦ","Χριστοῦ","Χριστοῦ","Χριστός"
51,01,03,"D",NULL,"πάντοτε","πάντοτε","πάντοτε","πάντοτε"
51,01,03,"P",NULL,"⸀περὶ","περὶ","περί","περί"
51,01,03,"RP","GP","ὑμῶν","ὑμῶν","ὑμῶν","σύ"
51,01,03,"V","PMPNPM","προσευχόμενοι,","προσευχόμενοι","προσευχόμενοι","προσεύχομαι"
51,01,04,"V","AAPNPM","ἀκούσαντες","ἀκούσαντες","ἀκούσαντες","ἀκούω"
51,01,04,"RA","ASF","τὴν","τὴν","τήν","ὁ"
51,01,04,"N","ASF","πίστιν","πίστιν","πίστιν","πίστις"
51,01,04,"RP","GP","ὑμῶν","ὑμῶν","ὑμῶν","σύ"
51,01,04,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
51,01,04,"N","DSM","Χριστῷ","Χριστῷ","Χριστῷ","Χριστός"
51,01,04,"N","DSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
51,01,04,"C",NULL,"καὶ","καὶ","καί","καί"
51,01,04,"RA","ASF","τὴν","τὴν","τήν","ὁ"
51,01,04,"N","ASF","ἀγάπην","ἀγάπην","ἀγάπην","ἀγάπη"
51,01,04,"RR","ASF","⸂ἣν","ἣν","ἥν","ὅς"
51,01,04,"V","2PAI-P","ἔχετε⸃","ἔχετε","ἔχετε","ἔχω"
51,01,04,"P",NULL,"εἰς","εἰς","εἰς","εἰς"
51,01,04,"A","APM","πάντας","πάντας","πάντας","πᾶς"
51,01,04,"RA","APM","τοὺς","τοὺς","τούς","ὁ"
51,01,04,"A","APM","ἁγίους","ἁγίους","ἁγίους","ἅγιος"
51,01,05,"P",NULL,"διὰ","διὰ","διά","διά"
51,01,05,"RA","ASF","τὴν","τὴν","τήν","ὁ"
51,01,05,"N","ASF","ἐλπίδα","ἐλπίδα","ἐλπίδα","ἐλπίς"
51,01,05,"RA","ASF","τὴν","τὴν","τήν","ὁ"
51,01,05,"V","PMPASF","ἀποκειμένην","ἀποκειμένην","ἀποκειμένην","ἀπόκειμαι"
51,01,05,"RP","DP","ὑμῖν","ὑμῖν","ὑμῖν","σύ"
51,01,05,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
51,01,05,"RA","DPM","τοῖς","τοῖς","τοῖς","ὁ"
51,01,05,"N","DPM","οὐρανοῖς,","οὐρανοῖς","οὐρανοῖς","οὐρανός"
51,01,05,"RR","ASF","ἣν","ἣν","ἥν","ὅς"
51,01,05,"V","2AAI-P","προηκούσατε","προηκούσατε","προηκούσατε","προακούω"
51,01,05,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
51,01,05,"RA","DSM","τῷ","τῷ","τῷ","ὁ"
51,01,05,"N","DSM","λόγῳ","λόγῳ","λόγῳ","λόγος"
51,01,05,"RA","GSF","τῆς","τῆς","τῆς","ὁ"
51,01,05,"N","GSF","ἀληθείας","ἀληθείας","ἀληθείας","ἀλήθεια"
51,01,05,"RA","GSN","τοῦ","τοῦ","τοῦ","ὁ"
51,01,05,"N","GSN","εὐαγγελίου","εὐαγγελίου","εὐαγγελίου","εὐαγγέλιον"
51,01,06,"RA","GSN","τοῦ","τοῦ","τοῦ","ὁ"
51,01,06,"V","PAPGSN","παρόντος","παρόντος","παρόντος","πάρειμι"
51,01,06,"P",NULL,"εἰς","εἰς","εἰς","εἰς"
51,01,06,"RP","AP","ὑμᾶς,","ὑμᾶς","ὑμᾶς","σύ"
51,01,06,"C",NULL,"καθὼς","καθὼς","καθώς","καθώς"
51,01,06,"D",NULL,"καὶ","καὶ","καί","καί"
51,01,06,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
51,01,06,"A","DSM","παντὶ","παντὶ","παντί","πᾶς"
51,01,06,"RA","DSM","τῷ","τῷ","τῷ","ὁ"
51,01,06,"N","DSM","⸀κόσμῳ","κόσμῳ","κόσμῳ","κόσμος"
51,01,06,"V","3PAI-S","ἐστὶν","ἐστὶν","ἐστί(ν)","εἰμί"
51,01,06,"V","PMPNSN","καρποφορούμενον","καρποφορούμενον","καρποφορούμενον","καρποφορέω"
51,01,06,"C",NULL,"καὶ","καὶ","καί","καί"
51,01,06,"V","PPPNSN","αὐξανόμενον","αὐξανόμενον","αὐξανόμενον","αὐξάνω"
51,01,06,"C",NULL,"καθὼς","καθὼς","καθώς","καθώς"
51,01,06,"D",NULL,"καὶ","καὶ","καί","καί"
51,01,06,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
51,01,06,"RP","DP","ὑμῖν,","ὑμῖν","ὑμῖν","σύ"
51,01,06,"P",NULL,"ἀφ’","ἀφ’","ἀπό","ἀπό"
51,01,06,"RR","GSF","ἧς","ἧς","ἧς","ὅς"
51,01,06,"N","GSF","ἡμέρας","ἡμέρας","ἡμέρας","ἡμέρα"
51,01,06,"V","2AAI-P","ἠκούσατε","ἠκούσατε","ἠκούσατε","ἀκούω"
51,01,06,"C",NULL,"καὶ","καὶ","καί","καί"
51,01,06,"V","2AAI-P","ἐπέγνωτε","ἐπέγνωτε","ἐπέγνωτε","ἐπιγινώσκω"
51,01,06,"RA","ASF","τὴν","τὴν","τήν","ὁ"
51,01,06,"N","ASF","χάριν","χάριν","χάριν","χάρις"
51,01,06,"RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
51,01,06,"N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
51,01,06,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
51,01,06,"N","DSF","ἀληθείᾳ·","ἀληθείᾳ","ἀληθείᾳ","ἀλήθεια"
51,01,07,"C",NULL,"⸀καθὼς","καθὼς","καθώς","καθώς"
51,01,07,"V","2AAI-P","ἐμάθετε","ἐμάθετε","ἐμάθετε","μανθάνω"
51,01,07,"P",NULL,"ἀπὸ","ἀπὸ","ἀπό","ἀπό"
51,01,07,"N","GSM","Ἐπαφρᾶ","Ἐπαφρᾶ","Ἐπαφρᾶ","Ἐπαφρᾶς"
51,01,07,"RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
51,01,07,"A","GSM","ἀγαπητοῦ","ἀγαπητοῦ","ἀγαπητοῦ","ἀγαπητός"
51,01,07,"N","GSM","συνδούλου","συνδούλου","συνδούλου","σύνδουλος"
51,01,07,"RP","GP","ἡμῶν,","ἡμῶν","ἡμῶν","ἐγώ"
51,01,07,"RR","NSM","ὅς","ὅς","ὅς","ὅς"
51,01,07,"V","3PAI-S","ἐστιν","ἐστιν","ἐστί(ν)","εἰμί"
51,01,07,"A","NSM","πιστὸς","πιστὸς","πιστός","πιστός"
51,01,07,"P",NULL,"ὑπὲρ","ὑπὲρ","ὑπέρ","ὑπέρ"
51,01,07,"RP","GP","⸀ἡμῶν","ἡμῶν","ἡμῶν","ἐγώ"
51,01,07,"N","NSM","διάκονος","διάκονος","διάκονος","διάκονος"
51,01,07,"RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
51,01,07,"N","GSM","Χριστοῦ,","Χριστοῦ","Χριστοῦ","Χριστός"
51,01,08,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
51,01,08,"D",NULL,"καὶ","καὶ","καί","καί"
51,01,08,"V","AAPNSM","δηλώσας","δηλώσας","δηλώσας","δηλόω"
51,01,08,"RP","DP","ἡμῖν","ἡμῖν","ἡμῖν","ἐγώ"
51,01,08,"RA","ASF","τὴν","τὴν","τήν","ὁ"
51,01,08,"RP","GP","ὑμῶν","ὑμῶν","ὑμῶν","σύ"
51,01,08,"N","ASF","ἀγάπην","ἀγάπην","ἀγάπην","ἀγάπη"
51,01,08,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
