"book","chapter","verse","part of speech","parsing code","text (including punctuation)","word (with punctuation stripped)","normalized word","lemma"
"52","01","01","N","NSM","Παῦλος","Παῦλος","Παῦλος","Παῦλος"
"52","01","01","C","","καὶ","καὶ","καί","καί"
"52","01","01","N","NSM","Σιλουανὸς","Σιλουανὸς","Σιλουανός","Σιλουανός"
"52","01","01","C","","καὶ","καὶ","καί","καί"
"52","01","01","N","NSM","Τιμόθεος","Τιμόθεος","Τιμόθεος","Τιμόθεος"
"52","01","01","RA","DSF","τῇ","τῇ","τῇ","ὁ"
"52","01","01","N","DSF","ἐκκλησίᾳ","ἐκκλησίᾳ","ἐκκλησίᾳ","ἐκκλησία"
"52","01","01","N","GPM","Θεσσαλονικέων","Θεσσαλονικέων","Θεσσαλονικέων","Θεσσαλονικεύς"
"52","01","01","P","","ἐν","ἐν","ἐν","ἐν"
"52","01","01","N","DSM","θεῷ","θεῷ","θεῷ","θεός"
"52","01","01","N","DSM","πατρὶ","πατρὶ","πατρί","πατήρ"
"52","01","01","C","","καὶ","καὶ","καί","καί"
"52","01","01","N","DSM","κυρίῳ","κυρίῳ","κυρίῳ","κύριος"
"52","01","01","N","DSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
"52","01","01","N","DSM","Χριστῷ·","Χριστῷ","Χριστῷ","Χριστός"
"52","01","01","N","NSF","χάρις","χάρις","χάρις","χάρις"
"52","01","01","RP","DP","ὑμῖν","ὑμῖν","ὑμῖν","σύ"
"52","01","01","C","","καὶ","καὶ","καί","καί"
"52","01","01","N","NSF","⸀εἰρήνη.","εἰρήνη","εἰρήνη","εἰρήνη"
"52","01","02","V","1PAI-P","Εὐχαριστοῦμεν","Εὐχαριστοῦμεν","εὐχαριστοῦμεν","εὐχαριστέω"
"52","01","02","RA","DSM","τῷ","τῷ","τῷ","ὁ"
"52","01","02","N","DSM","θεῷ","θεῷ","θεῷ","θεός"
"52","01","02","D","","πάντοτε","πάντοτε","πάντοτε","πάντοτε"
"52","01","02","P","","περὶ","περὶ","περί","περί"
"52","01","02","A","GPM","πάντων","πάντων","πάντων","πᾶς"
"52","01","02","RP","GP","ὑμῶν","ὑμῶν","ὑμῶν","σύ"
"52","01","02","N","ASF","⸀μνείαν","μνείαν","μνείαν","μνεία"
"52","01","02","V","PMPNPM","ποιούμενοι","ποιούμενοι","ποιούμενοι","ποιέω"
"52","01","02","P","","ἐπὶ","ἐπὶ","ἐπί","ἐπί"
"52","01","02","RA","GPF","τῶν","τῶν","τῶν","ὁ"
"52","01","02","N","GPF","προσευχῶν","προσευχῶν","προσευχῶν","προσευχή"
"52","01","02","RP","GP","ἡμῶν,","ἡμῶν","ἡμῶν","ἐγώ"
"52","01","02","D","","ἀδιαλείπτως","ἀδιαλείπτως","ἀδιαλείπτως","ἀδιαλείπτως"
"52","01","03","V","PAPNPM","μνημονεύοντες","μνημονεύοντες","μνημονεύοντες","μνημονεύω"
"52","01","03","RP","GP","ὑμῶν","ὑμῶν","ὑμῶν","σύ"
"52","01","03","RA","GSN","τοῦ","τοῦ","τοῦ","ὁ"
"52","01","03","N","GSN","ἔργου","ἔργου","ἔργου","ἔργον"
"52","01","03","RA","GSF","τῆς","τῆς","τῆς","ὁ"
"52","01","03","N","GSF","πίστεως","πίστεως","πίστεως","πίστις"
"52","01","03","C","","καὶ","καὶ","καί","καί"
