"OSIS_id","Chapter","Verse","ParsingCodePOS","ParsingCodeDetails","TextWithPunctuation","WordWithPunctuationStripped","NormalizedWord","Lemma"
53,01,01,"N","NSM","Παῦλος","Παῦλος","Παῦλος","Παῦλος"
53,01,01,"C",NULL,"καὶ","καὶ","καί","καί"
53,01,01,"N","NSM","Σιλουανὸς","Σιλουανὸς","Σιλουανός","Σιλουανός"
53,01,01,"C",NULL,"καὶ","καὶ","καί","καί"
53,01,01,"N","NSM","Τιμόθεος","Τιμόθεος","Τιμόθεος","Τιμόθεος"
53,01,01,"RA","DSF","τῇ","τῇ","τῇ","ὁ"
53,01,01,"N","DSF","ἐκκλησίᾳ","ἐκκλησίᾳ","ἐκκλησίᾳ","ἐκκλησία"
53,01,01,"N","GPM","Θεσσαλονικέων","Θεσσαλονικέων","Θεσσαλονικέων","Θεσσαλονικεύς"
53,01,01,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
53,01,01,"N","DSM","θεῷ","θεῷ","θεῷ","θεός"
53,01,01,"N","DSM","πατρὶ","πατρὶ","πατρί","πατήρ"
53,01,01,"RP","GP","ἡμῶν","ἡμῶν","ἡμῶν","ἐγώ"
53,01,01,"C",NULL,"καὶ","καὶ","καί","καί"
53,01,01,"N","DSM","κυρίῳ","κυρίῳ","κυρίῳ","κύριος"
53,01,01,"N","DSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
53,01,01,"N","DSM","Χριστῷ·","Χριστῷ","Χριστῷ","Χριστός"
53,01,02,"N","NSF","χάρις","χάρις","χάρις","χάρις"
53,01,02,"RP","DP","ὑμῖν","ὑμῖν","ὑμῖν","σύ"
53,01,02,"C",NULL,"καὶ","καὶ","καί","καί"
53,01,02,"N","NSF","εἰρήνη","εἰρήνη","εἰρήνη","εἰρήνη"
53,01,02,"P",NULL,"ἀπὸ","ἀπὸ","ἀπό","ἀπό"
53,01,02,"N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
