"book","chapter","verse","part of speech","parsing code","text (including punctuation)","word (with punctuation stripped)","normalized word","lemma"
"54","01","01","N","NSM","Παῦλος","Παῦλος","Παῦλος","Παῦλος"
"54","01","01","N","NSM","ἀπόστολος","ἀπόστολος","ἀπόστολος","ἀπόστολος"
"54","01","01","N","GSM","⸂Χριστοῦ","Χριστοῦ","Χριστοῦ","Χριστός"
"54","01","01","N","GSM","Ἰησοῦ⸃","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
"54","01","01","P","","κατ’","κατ’","κατά","κατά"
"54","01","01","N","ASF","ἐπιταγὴν","ἐπιταγὴν","ἐπιταγήν","ἐπιταγή"
"54","01","01","N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
"54","01","01","N","GSM","σωτῆρος","σωτῆρος","σωτῆρος","σωτήρ"
"54","01","01","RP","GP","ἡμῶν","ἡμῶν","ἡμῶν","ἐγώ"
"54","01","01","C","","καὶ","καὶ","καί","καί"
"54","01","01","N","GSM","⸂Χριστοῦ","Χριστοῦ","Χριστοῦ","Χριστός"
"54","01","01","N","GSM","Ἰησοῦ⸃","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
"54","01","01","RA","GSF","τῆς","τῆς","τῆς","ὁ"
"54","01","01","N","GSF","ἐλπίδος","ἐλπίδος","ἐλπίδος","ἐλπίς"
"54","01","01","RP","GP","ἡμῶν","ἡμῶν","ἡμῶν","ἐγώ"
"54","01","02","N","DSM","Τιμοθέῳ","Τιμοθέῳ","Τιμοθέῳ","Τιμόθεος"
"54","01","02","A","DSN","γνησίῳ","γνησίῳ","γνησίῳ","γνήσιος"
"54","01","02","N","DSN","τέκνῳ","τέκνῳ","τέκνῳ","τέκνον"
"54","01","02","P","","ἐν","ἐν","ἐν","ἐν"
"54","01","02","N","DSF","πίστει·","πίστει","πίστει","πίστις"
"54","01","02","N","NSF","χάρις,","χάρις","χάρις","χάρις"
"54","01","02","N","NSN","ἔλεος,","ἔλεος","ἔλεος","ἔλεος"
"54","01","02","N","NSF","εἰρήνη","εἰρήνη","εἰρήνη","εἰρήνη"
"54","01","02","P","","ἀπὸ","ἀπὸ","ἀπό","ἀπό"
"54","01","02","N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
"54","01","02","N","GSM","⸀πατρὸς","πατρὸς","πατρός","πατήρ"
"54","01","02","C","","καὶ","καὶ","καί","καί"
"54","01","02","N","GSM","Χριστοῦ","Χριστοῦ","Χριστοῦ","Χριστός"
"54","01","02","N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
"54","01","02","RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
"54","01","02","N","GSM","κυρίου","κυρίου","κυρίου","κύριος"
"54","01","02","RP","GP","ἡμῶν.","ἡμῶν","ἡμῶν","ἐγώ"
"54","01","03","C","","Καθὼς","Καθὼς","καθώς","καθώς"
"54","01","03","V","1AAI-S","παρεκάλεσά","παρεκάλεσά","παρεκάλεσα","παρακαλέω"
"54","01","03","RP","AS","σε","σε","σε","σύ"
"54","01","03","V","AAN","προσμεῖναι","προσμεῖναι","προσμεῖναι","προσμένω"
"54","01","03","P","","ἐν","ἐν","ἐν","ἐν"
"54","01","03","N","DSF","Ἐφέσῳ,","Ἐφέσῳ","Ἐφέσῳ","Ἔφεσος"
"54","01","03","V","PMPNSM","πορευόμενος","πορευόμενος","πορευόμενος","πορεύομαι"
"54","01","03","P","","εἰς","εἰς","εἰς","εἰς"
"54","01","03","N","ASF","Μακεδονίαν,","Μακεδονίαν","Μακεδονίαν","Μακεδονία"
"54","01","03","C","","ἵνα","ἵνα","ἵνα","ἵνα"
"54","01","03","V","2AAS-S","παραγγείλῃς","παραγγείλῃς","παραγγείλῃς","παραγγέλλω"
"54","01","03","RI","DPM","τισὶν","τισὶν","τισί(ν)","τις"
"54","01","03","D","","μὴ","μὴ","μή","μή"
"54","01","03","V","PAN","ἑτεροδιδασκαλεῖν","ἑτεροδιδασκαλεῖν","ἑτεροδιδασκαλεῖν","ἑτεροδιδασκαλέω"
"54","01","04","C","","μηδὲ","μηδὲ","μηδέ","μηδέ"
"54","01","04","V","PAN","προσέχειν","προσέχειν","προσέχειν","προσέχω"
"54","01","04","N","DPM","μύθοις","μύθοις","μύθοις","μῦθος"
"54","01","04","C","","καὶ","καὶ","καί","καί"
"54","01","04","N","DPF","γενεαλογίαις","γενεαλογίαις","γενεαλογίαις","γενεαλογία"
"54","01","04","A","DPF","ἀπεράντοις,","ἀπεράντοις","ἀπεράντοις","ἀπέραντος"
"54","01","04","RR","NPF","αἵτινες","αἵτινες","αἵτινες","ὅστις"
"54","01","04","N","APF","⸀ἐκζητήσεις","ἐκζητήσεις","ἐκζητήσεις","ἐκζήτησις"
"54","01","04","V","3PAI-P","παρέχουσι","παρέχουσι","παρέχουσι(ν)","παρέχω"
"54","01","04","D","","μᾶλλον","μᾶλλον","μᾶλλον","μᾶλλον"
"54","01","04","C","","ἢ","ἢ","ἤ","ἤ"
