"OSIS_id","Chapter","Verse","ParsingCodePOS","ParsingCodeDetails","TextWithPunctuation","WordWithPunctuationStripped","NormalizedWord","Lemma"
55,01,01,"N","NSM","Παῦλος","Παῦλος","Παῦλος","Παῦλος"
55,01,01,"N","NSM","ἀπόστολος","ἀπόστολος","ἀπόστολος","ἀπόστολος"
55,01,01,"N","GSM","⸂Χριστοῦ","Χριστοῦ","Χριστοῦ","Χριστός"
55,01,01,"N","GSM","Ἰησοῦ⸃","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
55,01,01,"P",NULL,"διὰ","διὰ","διά","διά"
55,01,01,"N","GSN","θελήματος","θελήματος","θελήματος","θέλημα"
55,01,01,"N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
55,01,01,"P",NULL,"κατ’","κατ’","κατά","κατά"
55,01,01,"N","ASF","ἐπαγγελίαν","ἐπαγγελίαν","ἐπαγγελίαν","ἐπαγγελία"
55,01,01,"N","GSF","ζωῆς","ζωῆς","ζωῆς","ζωή"
55,01,01,"RA","GSF","τῆς","τῆς","τῆς","ὁ"
55,01,01,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
55,01,01,"N","DSM","Χριστῷ","Χριστῷ","Χριστῷ","Χριστός"
55,01,01,"N","DSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
55,01,02,"N","DSM","Τιμοθέῳ","Τιμοθέῳ","Τιμοθέῳ","Τιμόθεος"
55,01,02,"A","DSN","ἀγαπητῷ","ἀγαπητῷ","ἀγαπητῷ","ἀγαπητός"
55,01,02,"N","DSN","τέκνῳ·","τέκνῳ","τέκνῳ","τέκνον"
55,01,02,"N","NSF","χάρις,","χάρις","χάρις","χάρις"
55,01,02,"N","NSN","ἔλεος,","ἔλεος","ἔλεος","ἔλεος"
55,01,02,"N","NSF","εἰρήνη","εἰρήνη","εἰρήνη","εἰρήνη"
55,01,02,"P",NULL,"ἀπὸ","ἀπὸ","ἀπό","ἀπό"
55,01,02,"N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
55,01,02,"N","GSM","πατρὸς","πατρὸς","πατρός","πατήρ"
55,01,02,"C",NULL,"καὶ","καὶ","καί","καί"
55,01,02,"N","GSM","Χριστοῦ","Χριστοῦ","Χριστοῦ","Χριστός"
55,01,02,"N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
55,01,02,"RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
55,01,02,"N","GSM","κυρίου","κυρίου","κυρίου","κύριος"
55,01,02,"RP","GP","ἡμῶν.","ἡμῶν","ἡμῶν","ἐγώ"
55,01,03,"N","ASF","Χάριν","Χάριν","χάριν","χάρις"
55,01,03,"V","1PAI-S","ἔχω","ἔχω","ἔχω","ἔχω"
55,01,03,"RA","DSM","τῷ","τῷ","τῷ","ὁ"
55,01,03,"N","DSM","θεῷ,","θεῷ","θεῷ","θεός"
55,01,03,"RR","DSM","ᾧ","ᾧ","ᾧ","ὅς"
55,01,03,"V","1PAI-S","λατρεύω","λατρεύω","λατρεύω","λατρεύω"
55,01,03,"P",NULL,"ἀπὸ","ἀπὸ","ἀπό","ἀπό"
55,01,03,"A","GPM","προγόνων","προγόνων","προγόνων","πρόγονος"
55,01,03,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
55,01,03,"A","DSF","καθαρᾷ","καθαρᾷ","καθαρᾷ","καθαρός"
55,01,03,"N","DSF","συνειδήσει,","συνειδήσει","συνειδήσει","συνείδησις"
55,01,03,"D",NULL,"ὡς","ὡς","ὡς","ὡς"
55,01,03,"A","ASF","ἀδιάλειπτον","ἀδιάλειπτον","ἀδιάλειπτον","ἀδιάλειπτος"
55,01,03,"V","1PAI-S","ἔχω","ἔχω","ἔχω","ἔχω"
55,01,03,"RA","ASF","τὴν","τὴν","τήν","ὁ"
55,01,03,"P",NULL,"περὶ","περὶ","περί","περί"
55,01,03,"RP","GS","σοῦ","σοῦ","σοῦ","σύ"
