"OSIS_id","Chapter","Verse","ParsingCodePOS","ParsingCodeDetails","TextWithPunctuation","WordWithPunctuationStripped","NormalizedWord","Lemma"
56,01,01,"N","NSM","Παῦλος","Παῦλος","Παῦλος","Παῦλος"
56,01,01,"N","NSM","δοῦλος","δοῦλος","δοῦλος","δοῦλος"
56,01,01,"N","GSM","θεοῦ,","θεοῦ","θεοῦ","θεός"
56,01,01,"N","NSM","ἀπόστολος","ἀπόστολος","ἀπόστολος","ἀπόστολος"
56,01,01,"C",NULL,"δὲ","δὲ","δέ","δέ"
56,01,01,"N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
56,01,01,"N","GSM","Χριστοῦ","Χριστοῦ","Χριστοῦ","Χριστός"
56,01,01,"P",NULL,"κατὰ","κατὰ","κατά","κατά"
56,01,01,"N","ASF","πίστιν","πίστιν","πίστιν","πίστις"
56,01,01,"A","GPM","ἐκλεκτῶν","ἐκλεκτῶν","ἐκλεκτῶν","ἐκλεκτός"
56,01,01,"N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
56,01,01,"C",NULL,"καὶ","καὶ","καί","καί"
56,01,01,"N","ASF","ἐπίγνωσιν","ἐπίγνωσιν","ἐπίγνωσιν","ἐπίγνωσις"
56,01,01,"N","GSF","ἀληθείας","ἀληθείας","ἀληθείας","ἀλήθεια"
56,01,01,"RA","GSF","τῆς","τῆς","τῆς","ὁ"
56,01,01,"P",NULL,"κατ’","κατ’","κατά","κατά"
56,01,01,"N","ASF","εὐσέβειαν","εὐσέβειαν","εὐσέβειαν","εὐσέβεια"
56,01,02,"P",NULL,"ἐπ’","ἐπ’","ἐπί","ἐπί"
56,01,02,"N","DSF","ἐλπίδι","ἐλπίδι","ἐλπίδι","ἐλπίς"
56,01,02,"N","GSF","ζωῆς","ζωῆς","ζωῆς","ζωή"
56,01,02,"A","GSF","αἰωνίου,","αἰωνίου","αἰωνίου","αἰώνιος"
56,01,02,"RR","ASF","ἣν","ἣν","ἥν","ὅς"
56,01,02,"V","3AMI-S","ἐπηγγείλατο","ἐπηγγείλατο","ἐπηγγείλατο","ἐπαγγέλλομαι"
56,01,02,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
56,01,02,"A","NSM","ἀψευδὴς","ἀψευδὴς","ἀψευδής","ἀψευδής"
56,01,02,"N","NSM","θεὸς","θεὸς","θεός","θεός"
56,01,02,"P",NULL,"πρὸ","πρὸ","πρό","πρό"
56,01,02,"N","GPM","χρόνων","χρόνων","χρόνων","χρόνος"
56,01,02,"A","GPM","αἰωνίων","αἰωνίων","αἰωνίων","αἰώνιος"
56,01,03,"V","3AAI-S","ἐφανέρωσεν","ἐφανέρωσεν","ἐφανέρωσε(ν)","φανερόω"
56,01,03,"C",NULL,"δὲ","δὲ","δέ","δέ"
56,01,03,"N","DPM","καιροῖς","καιροῖς","καιροῖς","καιρός"
56,01,03,"A","DPM","ἰδίοις,","ἰδίοις","ἰδίοις","ἴδιος"
56,01,03,"RA","ASM","τὸν","τὸν","τόν","ὁ"
56,01,03,"N","ASM","λόγον","λόγον","λόγον","λόγος"
56,01,03,"RP","GSM","αὐτοῦ","αὐτοῦ","αὐτοῦ","αὐτός"
56,01,03,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
56,01,03,"N","DSN","κηρύγματι","κηρύγματι","κηρύγματι","κήρυγμα"
56,01,03,"RR","ASN","ὃ","ὃ","ὅ","ὅς"
56,01,03,"V","1API-S","ἐπιστεύθην","ἐπιστεύθην","ἐπιστεύθην","πιστεύω"
56,01,03,"RP","NS","ἐγὼ","ἐγὼ","ἐγώ","ἐγώ"
56,01,03,"P",NULL,"κατ’","κατ’","κατά","κατά"
56,01,03,"N","ASF","ἐπιταγὴν","ἐπιταγὴν","ἐπιταγήν","ἐπιταγή"
56,01,03,"RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
56,01,03,"N","GSM","σωτῆρος","σωτῆρος","σωτῆρος","σωτήρ"
56,01,03,"RP","GP","ἡμῶν","ἡμῶν","ἡμῶν","ἐγώ"
56,01,03,"N","GSM","θεοῦ,","θεοῦ","θεοῦ","θεός"
56,01,04,"N","DSM","Τίτῳ","Τίτῳ","Τίτῳ","Τίτος"
56,01,04,"A","DSN","γνησίῳ","γνησίῳ","γνησίῳ","γνήσιος"
56,01,04,"N","DSN","τέκνῳ","τέκνῳ","τέκνῳ","τέκνον"
56,01,04,"P",NULL,"κατὰ","κατὰ","κατά","κατά"
56,01,04,"A","ASF","κοινὴν","κοινὴν","κοινήν","κοινός"
56,01,04,"N","ASF","πίστιν·","πίστιν","πίστιν","πίστις"
56,01,04,"N","NSF","χάρις","χάρις","χάρις","χάρις"
56,01,04,"C",NULL,"⸀καὶ","καὶ","καί","καί"
56,01,04,"N","NSF","εἰρήνη","εἰρήνη","εἰρήνη","εἰρήνη"
56,01,04,"P",NULL,"ἀπὸ","ἀπὸ","ἀπό","ἀπό"
56,01,04,"N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
56,01,04,"N","GSM","πατρὸς","πατρὸς","πατρός","πατήρ"
56,01,04,"C",NULL,"καὶ","καὶ","καί","καί"
56,01,04,"N","GSM","⸂Χριστοῦ","Χριστοῦ","Χριστοῦ","Χριστός"
