"book","chapter","verse","part of speech","parsing code","text (including punctuation)","word (with punctuation stripped)","normalized word","lemma"
"57","01","01","N","NSM","Παῦλος","Παῦλος","Παῦλος","Παῦλος"
"57","01","01","N","NSM","δέσμιος","δέσμιος","δέσμιος","δέσμιος"
"57","01","01","N","GSM","Χριστοῦ","Χριστοῦ","Χριστοῦ","Χριστός"
"57","01","01","N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
"57","01","01","C","","καὶ","καὶ","καί","καί"
"57","01","01","N","NSM","Τιμόθεος","Τιμόθεος","Τιμόθεος","Τιμόθεος"
"57","01","01","RA","NSM","ὁ","ὁ","ὁ","ὁ"
"57","01","01","N","NSM","ἀδελφὸς","ἀδελφὸς","ἀδελφός","ἀδελφός"
"57","01","01","N","DSM","Φιλήμονι","Φιλήμονι","Φιλήμονι","Φιλήμων"
"57","01","01","RA","DSM","τῷ","τῷ","τῷ","ὁ"
"57","01","01","A","DSM","ἀγαπητῷ","ἀγαπητῷ","ἀγαπητῷ","ἀγαπητός"
"57","01","01","C","","καὶ","καὶ","καί","καί"
"57","01","01","A","DSM","συνεργῷ","συνεργῷ","συνεργῷ","συνεργός"
"57","01","01","RP","GP","ἡμῶν","ἡμῶν","ἡμῶν","ἐγώ"
"57","01","02","C","","καὶ","καὶ","καί","καί"
"57","01","02","N","DSF","Ἀπφίᾳ","Ἀπφίᾳ","Ἀπφίᾳ","Ἀπφία"
"57","01","02","RA","DSF","τῇ","τῇ","τῇ","ὁ"
"57","01","02","N","DSF","⸀ἀδελφῇ","ἀδελφῇ","ἀδελφῇ","ἀδελφή"
"57","01","02","C","","καὶ","καὶ","καί","καί"
"57","01","02","N","DSM","Ἀρχίππῳ","Ἀρχίππῳ","Ἀρχίππῳ","Ἄρχιππος"
"57","01","02","RA","DSM","τῷ","τῷ","τῷ","ὁ"
"57","01","02","N","DSM","συστρατιώτῃ","συστρατιώτῃ","συστρατιώτῃ","συστρατιώτης"
"57","01","02","RP","GP","ἡμῶν","ἡμῶν","ἡμῶν","ἐγώ"
"57","01","02","C","","καὶ","καὶ","καί","καί"
"57","01","02","RA","DSF","τῇ","τῇ","τῇ","ὁ"
"57","01","02","P","","κατ’","κατ’","κατά","κατά"
"57","01","02","N","ASM","οἶκόν","οἶκόν","οἶκον","οἶκος"
"57","01","02","RP","GS","σου","σου","σου","σύ"
"57","01","02","N","DSF","ἐκκλησίᾳ·","ἐκκλησίᾳ","ἐκκλησίᾳ","ἐκκλησία"
"57","01","03","N","NSF","χάρις","χάρις","χάρις","χάρις"
"57","01","03","RP","DP","ὑμῖν","ὑμῖν","ὑμῖν","σύ"
"57","01","03","C","","καὶ","καὶ","καί","καί"
"57","01","03","N","NSF","εἰρήνη","εἰρήνη","εἰρήνη","εἰρήνη"
"57","01","03","P","","ἀπὸ","ἀπὸ","ἀπό","ἀπό"
"57","01","03","N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
"57","01","03","N","GSM","πατρὸς","πατρὸς","πατρός","πατήρ"
"57","01","03","RP","GP","ἡμῶν","ἡμῶν","ἡμῶν","ἐγώ"
"57","01","03","C","","καὶ","καὶ","καί","καί"
"57","01","03","N","GSM","κυρίου","κυρίου","κυρίου","κύριος"
"57","01","03","N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
"57","01","03","N","GSM","Χριστοῦ.","Χριστοῦ","Χριστοῦ","Χριστός"
"57","01","04","V","1PAI-S","Εὐχαριστῶ","Εὐχαριστῶ","εὐχαριστῶ","εὐχαριστέω"
"57","01","04","RA","DSM","τῷ","τῷ","τῷ","ὁ"
"57","01","04","N","DSM","θεῷ","θεῷ","θεῷ","θεός"
"57","01","04","RP","GS","μου","μου","μου","ἐγώ"
"57","01","04","D","","πάντοτε","πάντοτε","πάντοτε","πάντοτε"
"57","01","04","N","ASF","μνείαν","μνείαν","μνείαν","μνεία"
"57","01","04","RP","GS","σου","σου","σου","σύ"
"57","01","04","V","PMPNSM","ποιούμενος","ποιούμενος","ποιούμενος","ποιέω"
"57","01","04","P","","ἐπὶ","ἐπὶ","ἐπί","ἐπί"
"57","01","04","RA","GPF","τῶν","τῶν","τῶν","ὁ"
"57","01","04","N","GPF","προσευχῶν","προσευχῶν","προσευχῶν","προσευχή"
"57","01","04","RP","GS","μου,","μου","μου","ἐγώ"
"57","01","05","V","PAPNSM","ἀκούων","ἀκούων","ἀκούων","ἀκούω"
"57","01","05","RP","GS","σου","σου","σου","σύ"
"57","01","05","RA","ASF","τὴν","τὴν","τήν","ὁ"
"57","01","05","N","ASF","ἀγάπην","ἀγάπην","ἀγάπην","ἀγάπη"
"57","01","05","C","","καὶ","καὶ","καί","καί"
"57","01","05","RA","ASF","τὴν","τὴν","τήν","ὁ"
"57","01","05","N","ASF","πίστιν","πίστιν","πίστιν","πίστις"
"57","01","05","RR","ASF","ἣν","ἣν","ἥν","ὅς"
"57","01","05","V","2PAI-S","ἔχεις","ἔχεις","ἔχεις","ἔχω"
"57","01","05","P","","⸀πρὸς","πρὸς","πρός","πρός"
"57","01","05","RA","ASM","τὸν","τὸν","τόν","ὁ"
