"OSIS_id","Chapter","Verse","ParsingCodePOS","ParsingCodeDetails","TextWithPunctuation","WordWithPunctuationStripped","NormalizedWord","Lemma"
58,01,01,"D",NULL,"Πολυμερῶς","Πολυμερῶς","πολυμερῶς","πολυμερῶς"
58,01,01,"C",NULL,"καὶ","καὶ","καί","καί"
58,01,01,"D",NULL,"πολυτρόπως","πολυτρόπως","πολυτρόπως","πολυτρόπως"
58,01,01,"D",NULL,"πάλαι","πάλαι","πάλαι","πάλαι"
58,01,01,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
58,01,01,"N","NSM","θεὸς","θεὸς","θεός","θεός"
58,01,01,"V","AAPNSM","λαλήσας","λαλήσας","λαλήσας","λαλέω"
58,01,01,"RA","DPM","τοῖς","τοῖς","τοῖς","ὁ"
58,01,01,"N","DPM","πατράσιν","πατράσιν","πατράσι(ν)","πατήρ"
58,01,01,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
58,01,01,"RA","DPM","τοῖς","τοῖς","τοῖς","ὁ"
58,01,01,"N","DPM","προφήταις","προφήταις","προφήταις","προφήτης"
58,01,02,"P",NULL,"ἐπ’","ἐπ’","ἐπί","ἐπί"
58,01,02,"A","GSN","ἐσχάτου","ἐσχάτου","ἐσχάτου","ἔσχατος"
58,01,02,"RA","GPF","τῶν","τῶν","τῶν","ὁ"
58,01,02,"N","GPF","ἡμερῶν","ἡμερῶν","ἡμερῶν","ἡμέρα"
58,01,02,"RD","GPF","τούτων","τούτων","τούτων","οὗτος"
58,01,02,"V","3AAI-S","ἐλάλησεν","ἐλάλησεν","ἐλάλησε(ν)","λαλέω"
58,01,02,"RP","DP","ἡμῖν","ἡμῖν","ἡμῖν","ἐγώ"
58,01,02,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
58,01,02,"N","DSM","υἱῷ,","υἱῷ","υἱῷ","υἱός"
58,01,02,"RR","ASM","ὃν","ὃν","ὅν","ὅς"
58,01,02,"V","3AAI-S","ἔθηκεν","ἔθηκεν","ἔθηκε(ν)","τίθημι"
58,01,02,"N","ASM","κληρονόμον","κληρονόμον","κληρονόμον","κληρονόμος"
58,01,02,"A","GPN","πάντων,","πάντων","πάντων","πᾶς"
58,01,02,"P",NULL,"δι’","δι’","διά","διά"
58,01,02,"RR","GSM","οὗ","οὗ","οὗ","ὅς"
58,01,02,"D",NULL,"καὶ","καὶ","καί","καί"
58,01,02,"V","3AAI-S","⸂ἐποίησεν","ἐποίησεν","ἐποίησε(ν)","ποιέω"
58,01,02,"RA","APM","τοὺς","τοὺς","τούς","ὁ"
58,01,02,"N","APM","αἰῶνας⸃·","αἰῶνας","αἰῶνας","αἰών"
58,01,03,"RR","NSM","ὃς","ὃς","ὅς","ὅς"
58,01,03,"V","PAPNSM","ὢν","ὢν","ὤν","εἰμί"
58,01,03,"N","NSN","ἀπαύγασμα","ἀπαύγασμα","ἀπαύγασμα","ἀπαύγασμα"
58,01,03,"RA","GSF","τῆς","τῆς","τῆς","ὁ"
58,01,03,"N","GSF","δόξης","δόξης","δόξης","δόξα"
58,01,03,"C",NULL,"καὶ","καὶ","καί","καί"
58,01,03,"N","NSM","χαρακτὴρ","χαρακτὴρ","χαρακτήρ","χαρακτήρ"
58,01,03,"RA","GSF","τῆς","τῆς","τῆς","ὁ"
58,01,03,"N","GSF","ὑποστάσεως","ὑποστάσεως","ὑποστάσεως","ὑπόστασις"
58,01,03,"RP","GSM","αὐτοῦ,","αὐτοῦ","αὐτοῦ","αὐτός"
58,01,03,"V","PAPNSM","φέρων","φέρων","φέρων","φέρω"
58,01,03,"C",NULL,"τε","τε","τέ","τέ"
58,01,03,"RA","APN","τὰ","τὰ","τά","ὁ"
58,01,03,"A","APN","πάντα","πάντα","πάντα","πᾶς"
58,01,03,"RA","DSN","τῷ","τῷ","τῷ","ὁ"
58,01,03,"N","DSN","ῥήματι","ῥήματι","ῥήματι","ῥῆμα"
58,01,03,"RA","GSF","τῆς","τῆς","τῆς","ὁ"
58,01,03,"N","GSF","δυνάμεως,","δυνάμεως","δυνάμεως","δύναμις"
58,01,03,"P",NULL,"⸂δι’","δι’","διά","διά"
58,01,03,"RP","GSM","αὑτοῦ⸃","αὑτοῦ","αὑτοῦ","ἑαυτοῦ"
58,01,03,"N","ASM","καθαρισμὸν","καθαρισμὸν","καθαρισμόν","καθαρισμός"
58,01,03,"RA","GPF","⸂τῶν","τῶν","τῶν","ὁ"
58,01,03,"N","GPF","ἁμαρτιῶν","ἁμαρτιῶν","ἁμαρτιῶν","ἁμαρτία"
58,01,03,"V","AMPNSM","ποιησάμενος⸃","ποιησάμενος","ποιησάμενος","ποιέω"
58,01,03,"V","3AAI-S","ἐκάθισεν","ἐκάθισεν","ἐκάθισε(ν)","καθίζω"
58,01,03,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
58,01,03,"A","DSF","δεξιᾷ","δεξιᾷ","δεξιᾷ","δεξιός"
58,01,03,"RA","GSF","τῆς","τῆς","τῆς","ὁ"
58,01,03,"N","GSF","μεγαλωσύνης","μεγαλωσύνης","μεγαλωσύνης","μεγαλωσύνη"
58,01,03,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
58,01,03,"A","DPM","ὑψηλοῖς,","ὑψηλοῖς","ὑψηλοῖς","ὑψηλός"
58,01,04,"RD","DSN","τοσούτῳ","τοσούτῳ","τοσούτῳ","τοσοῦτος"
58,01,04,"A","NSMC","κρείττων","κρείττων","κρείττων","κρείττων"
58,01,04,"V","AMPNSM","γενόμενος","γενόμενος","γενόμενος","γίνομαι"
58,01,04,"RA","GPM","τῶν","τῶν","τῶν","ὁ"
58,01,04,"N","GPM","ἀγγέλων","ἀγγέλων","ἀγγέλων","ἄγγελος"
58,01,04,"RR","DSN","ὅσῳ","ὅσῳ","ὅσῳ","ὅσος"
58,01,04,"A","ASNC","διαφορώτερον","διαφορώτερον","διαφορώτερον","διάφορος"
58,01,04,"P",NULL,"παρ’","παρ’","παρά","παρά"
58,01,04,"RP","APM","αὐτοὺς","αὐτοὺς","αὐτούς","αὐτός"
58,01,04,"V","3XAI-S","κεκληρονόμηκεν","κεκληρονόμηκεν","κεκληρονόμηκε(ν)","κληρονομέω"
58,01,04,"N","ASN","ὄνομα.","ὄνομα","ὄνομα","ὄνομα"
58,01,05,"RI","DSM","Τίνι","Τίνι","τίνι","τίς"
58,01,05,"C",NULL,"γὰρ","γὰρ","γάρ","γάρ"
58,01,05,"V","3AAI-S","εἶπέν","εἶπέν","εἶπε(ν)","λέγω"
58,01,05,"D",NULL,"ποτε","ποτε","ποτέ","ποτέ"
58,01,05,"RA","GPM","τῶν","τῶν","τῶν","ὁ"
58,01,05,"N","GPM","ἀγγέλων·","ἀγγέλων","ἀγγέλων","ἄγγελος"
58,01,05,"N","NSM","Υἱός","Υἱός","υἱός","υἱός"
58,01,05,"RP","GS","μου","μου","μου","ἐγώ"
58,01,05,"V","2PAI-S","εἶ","εἶ","εἶ","εἰμί"
58,01,05,"RP","NS","σύ,","σύ","σύ","σύ"
58,01,05,"RP","NS","ἐγὼ","ἐγὼ","ἐγώ","ἐγώ"
58,01,05,"D",NULL,"σήμερον","σήμερον","σήμερον","σήμερον"
58,01,05,"V","1XAI-S","γεγέννηκά","γεγέννηκά","γεγέννηκα","γεννάω"
58,01,05,"RP","AS","σε,","σε","σε","σύ"
58,01,05,"C",NULL,"καὶ","καὶ","καί","καί"
58,01,05,"D",NULL,"πάλιν·","πάλιν","πάλιν","πάλιν"
58,01,05,"RP","NS","Ἐγὼ","Ἐγὼ","ἐγώ","ἐγώ"
58,01,05,"V","1FMI-S","ἔσομαι","ἔσομαι","ἔσομαι","εἰμί"
58,01,05,"RP","DSM","αὐτῷ","αὐτῷ","αὐτῷ","αὐτός"
58,01,05,"P",NULL,"εἰς","εἰς","εἰς","εἰς"
58,01,05,"N","ASM","πατέρα,","πατέρα","πατέρα","πατήρ"
58,01,05,"C",NULL,"καὶ","καὶ","καί","καί"
58,01,05,"RP","NSM","αὐτὸς","αὐτὸς","αὐτός","αὐτός"
58,01,05,"V","3FMI-S","ἔσται","ἔσται","ἔσται","εἰμί"
58,01,05,"RP","DS","μοι","μοι","μοι","ἐγώ"
58,01,05,"P",NULL,"εἰς","εἰς","εἰς","εἰς"
58,01,05,"N","ASM","υἱόν;","υἱόν","υἱόν","υἱός"
58,01,06,"C",NULL,"ὅταν","ὅταν","ὅταν","ὅταν"
58,01,06,"C",NULL,"δὲ","δὲ","δέ","δέ"
58,01,06,"D",NULL,"πάλιν","πάλιν","πάλιν","πάλιν"
58,01,06,"V","3AAS-S","εἰσαγάγῃ","εἰσαγάγῃ","εἰσαγάγῃ","εἰσάγω"
58,01,06,"RA","ASM","τὸν","τὸν","τόν","ὁ"
58,01,06,"A","ASM","πρωτότοκον","πρωτότοκον","πρωτότοκον","πρωτότοκος"
58,01,06,"P",NULL,"εἰς","εἰς","εἰς","εἰς"
58,01,06,"RA","ASF","τὴν","τὴν","τήν","ὁ"
58,01,06,"N","ASF","οἰκουμένην,","οἰκουμένην","οἰκουμένην","οἰκουμένη"
58,01,06,"V","3PAI-S","λέγει·","λέγει","λέγει","λέγω"
58,01,06,"C",NULL,"Καὶ","Καὶ","καί","καί"
58,01,06,"V","3AAD-P","προσκυνησάτωσαν","προσκυνησάτωσαν","προσκυνησάτωσαν","προσκυνέω"
58,01,06,"RP","DSM","αὐτῷ","αὐτῷ","αὐτῷ","αὐτός"
58,01,06,"A","NPM","πάντες","πάντες","πάντες","πᾶς"
58,01,06,"N","NPM","ἄγγελοι","ἄγγελοι","ἄγγελοι","ἄγγελος"
58,01,06,"N","GSM","θεοῦ.","θεοῦ","θεοῦ","θεός"
58,01,07,"C",NULL,"καὶ","καὶ","καί","καί"
58,01,07,"P",NULL,"πρὸς","πρὸς","πρός","πρός"
58,01,07,"C",NULL,"μὲν","μὲν","μέν","μέν"
58,01,07,"RA","APM","τοὺς","τοὺς","τούς","ὁ"
58,01,07,"N","APM","ἀγγέλους","ἀγγέλους","ἀγγέλους","ἄγγελος"
58,01,07,"V","3PAI-S","λέγει·","λέγει","λέγει","λέγω"
58,01,07,"RA","NSM","Ὁ","Ὁ","ὁ","ὁ"
58,01,07,"V","PAPNSM","ποιῶν","ποιῶν","ποιῶν","ποιέω"
58,01,07,"RA","APM","τοὺς","τοὺς","τούς","ὁ"
58,01,07,"N","APM","ἀγγέλους","ἀγγέλους","ἀγγέλους","ἄγγελος"
