"OSIS_id","Chapter","Verse","ParsingCodePOS","ParsingCodeDetails","TextWithPunctuation","WordWithPunctuationStripped","NormalizedWord","Lemma"
59,01,01,"N","NSM","Ἰάκωβος","Ἰάκωβος","Ἰάκωβος","Ἰάκωβος"
59,01,01,"N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
59,01,01,"C",NULL,"καὶ","καὶ","καί","καί"
59,01,01,"N","GSM","κυρίου","κυρίου","κυρίου","κύριος"
59,01,01,"N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
59,01,01,"N","GSM","Χριστοῦ","Χριστοῦ","Χριστοῦ","Χριστός"
59,01,01,"N","NSM","δοῦλος","δοῦλος","δοῦλος","δοῦλος"
59,01,01,"RA","DPF","ταῖς","ταῖς","ταῖς","ὁ"
59,01,01,"A","DPF","δώδεκα","δώδεκα","δώδεκα","δώδεκα"
59,01,01,"N","DPF","φυλαῖς","φυλαῖς","φυλαῖς","φυλή"
59,01,01,"RA","DPF","ταῖς","ταῖς","ταῖς","ὁ"
59,01,01,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
59,01,01,"RA","DSF","τῇ","τῇ","τῇ","ὁ"
59,01,01,"N","DSF","διασπορᾷ","διασπορᾷ","διασπορᾷ","διασπορά"
59,01,01,"V","PAN","χαίρειν.","χαίρειν","χαίρειν","χαίρω"
59,01,02,"A","ASF","Πᾶσαν","Πᾶσαν","πᾶσαν","πᾶς"
59,01,02,"N","ASF","χαρὰν","χαρὰν","χαράν","χαρά"
59,01,02,"V","2AMD-P","ἡγήσασθε,","ἡγήσασθε","ἡγήσασθε","ἡγέομαι"
59,01,02,"N","VPM","ἀδελφοί","ἀδελφοί","ἀδελφοί","ἀδελφός"
59,01,02,"RP","GS","μου,","μου","μου","ἐγώ"
59,01,02,"C",NULL,"ὅταν","ὅταν","ὅταν","ὅταν"
59,01,02,"N","DPM","πειρασμοῖς","πειρασμοῖς","πειρασμοῖς","πειρασμός"
59,01,02,"V","2AAS-P","περιπέσητε","περιπέσητε","περιπέσητε","περιπίπτω"
59,01,02,"A","DPM","ποικίλοις,","ποικίλοις","ποικίλοις","ποικίλος"
59,01,03,"V","PAPNPM","γινώσκοντες","γινώσκοντες","γινώσκοντες","γινώσκω"
59,01,03,"C",NULL,"ὅτι","ὅτι","ὅτι","ὅτι"
59,01,03,"RA","NSN","τὸ","τὸ","τό","ὁ"
59,01,03,"N","NSN","δοκίμιον","δοκίμιον","δοκίμιον","δοκίμιον"
59,01,03,"RP","GP","ὑμῶν","ὑμῶν","ὑμῶν","σύ"
59,01,03,"RA","GSF","τῆς","τῆς","τῆς","ὁ"
59,01,03,"N","GSF","πίστεως","πίστεως","πίστεως","πίστις"
59,01,03,"V","3PMI-S","κατεργάζεται","κατεργάζεται","κατεργάζεται","κατεργάζομαι"
59,01,03,"N","ASF","ὑπομονήν·","ὑπομονήν","ὑπομονήν","ὑπομονή"
59,01,04,"RA","NSF","ἡ","ἡ","ἡ","ὁ"
59,01,04,"C",NULL,"δὲ","δὲ","δέ","δέ"
59,01,04,"N","NSF","ὑπομονὴ","ὑπομονὴ","ὑπομονή","ὑπομονή"
59,01,04,"N","ASN","ἔργον","ἔργον","ἔργον","ἔργον"
59,01,04,"A","ASN","τέλειον","τέλειον","τέλειον","τέλειος"
59,01,04,"V","3PAD-S","ἐχέτω,","ἐχέτω","ἐχέτω","ἔχω"
59,01,04,"C",NULL,"ἵνα","ἵνα","ἵνα","ἵνα"
59,01,04,"V","2PAS-P","ἦτε","ἦτε","ἦτε","εἰμί"
59,01,04,"A","NPM","τέλειοι","τέλειοι","τέλειοι","τέλειος"
59,01,04,"C",NULL,"καὶ","καὶ","καί","καί"
59,01,04,"A","NPM","ὁλόκληροι,","ὁλόκληροι","ὁλόκληροι","ὁλόκληρος"
59,01,04,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
59,01,04,"A","DSN","μηδενὶ","μηδενὶ","μηδενί","μηδείς"
59,01,04,"V","PMPNPM","λειπόμενοι.","λειπόμενοι","λειπόμενοι","λείπω"
59,01,05,"C",NULL,"Εἰ","Εἰ","εἰ","εἰ"
59,01,05,"C",NULL,"δέ","δέ","δέ","δέ"
59,01,05,"RI","NSM","τις","τις","τὶς","τις"
59,01,05,"RP","GP","ὑμῶν","ὑμῶν","ὑμῶν","σύ"
59,01,05,"V","3PMI-S","λείπεται","λείπεται","λείπεται","λείπω"
59,01,05,"N","GSF","σοφίας,","σοφίας","σοφίας","σοφία"
59,01,05,"V","3PAD-S","αἰτείτω","αἰτείτω","αἰτείτω","αἰτέω"
59,01,05,"P",NULL,"παρὰ","παρὰ","παρά","παρά"
59,01,05,"RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
59,01,05,"V","PAPGSM","διδόντος","διδόντος","διδόντος","δίδωμι"
59,01,05,"N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
59,01,05,"A","DPM","πᾶσιν","πᾶσιν","πᾶσι(ν)","πᾶς"
59,01,05,"D",NULL,"ἁπλῶς","ἁπλῶς","ἁπλῶς","ἁπλῶς"
59,01,05,"C",NULL,"καὶ","καὶ","καί","καί"
59,01,05,"D",NULL,"⸀μὴ","μὴ","μή","μή"
59,01,05,"V","PAPGSM","ὀνειδίζοντος,","ὀνειδίζοντος","ὀνειδίζοντος","ὀνειδίζω"
59,01,05,"C",NULL,"καὶ","καὶ","καί","καί"
59,01,05,"V","3FPI-S","δοθήσεται","δοθήσεται","δοθήσεται","δίδωμι"
59,01,05,"RP","DSM","αὐτῷ·","αὐτῷ","αὐτῷ","αὐτός"
59,01,06,"V","3PAD-S","αἰτείτω","αἰτείτω","αἰτείτω","αἰτέω"
59,01,06,"C",NULL,"δὲ","δὲ","δέ","δέ"
59,01,06,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
59,01,06,"N","DSF","πίστει,","πίστει","πίστει","πίστις"
59,01,06,"A","ASN","μηδὲν","μηδὲν","μηδέν","μηδείς"
59,01,06,"V","PMPNSM","διακρινόμενος,","διακρινόμενος","διακρινόμενος","διακρίνω"
59,01,06,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
59,01,06,"C",NULL,"γὰρ","γὰρ","γάρ","γάρ"
59,01,06,"V","PMPNSM","διακρινόμενος","διακρινόμενος","διακρινόμενος","διακρίνω"
59,01,06,"V","3XAI-S","ἔοικεν","ἔοικεν","ἔοικε(ν)","ἔοικα"
59,01,06,"N","DSM","κλύδωνι","κλύδωνι","κλύδωνι","κλύδων"
59,01,06,"N","GSF","θαλάσσης","θαλάσσης","θαλάσσης","θάλασσα"
59,01,06,"V","PPPDSM","ἀνεμιζομένῳ","ἀνεμιζομένῳ","ἀνεμιζομένῳ","ἀνεμίζομαι"
59,01,06,"C",NULL,"καὶ","καὶ","καί","καί"
59,01,06,"V","PPPDSM","ῥιπιζομένῳ·","ῥιπιζομένῳ","ῥιπιζομένῳ","ῥιπίζομαι"
59,01,07,"D",NULL,"μὴ","μὴ","μή","μή"
59,01,07,"C",NULL,"γὰρ","γὰρ","γάρ","γάρ"
59,01,07,"V","3PMD-S","οἰέσθω","οἰέσθω","οἰέσθω","οἶμαι"
59,01,07,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
59,01,07,"N","NSM","ἄνθρωπος","ἄνθρωπος","ἄνθρωπος","ἄνθρωπος"
59,01,07,"RD","NSM","ἐκεῖνος","ἐκεῖνος","ἐκεῖνος","ἐκεῖνος"
59,01,07,"C",NULL,"ὅτι","ὅτι","ὅτι","ὅτι"
59,01,07,"V","3FMI-S","λήμψεταί","λήμψεταί","λήμψεται","λαμβάνω"
59,01,07,"RI","ASN","τι","τι","τὶ","τις"
59,01,07,"P",NULL,"παρὰ","παρὰ","παρά","παρά"
59,01,07,"RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
59,01,07,"N","GSM","κυρίου","κυρίου","κυρίου","κύριος"
59,01,08,"N","NSM","ἀνὴρ","ἀνὴρ","ἀνήρ","ἀνήρ"
59,01,08,"A","NSM","δίψυχος,","δίψυχος","δίψυχος","δίψυχος"
59,01,08,"A","NSM","ἀκατάστατος","ἀκατάστατος","ἀκατάστατος","ἀκατάστατος"
59,01,08,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
59,01,08,"A","DPF","πάσαις","πάσαις","πάσαις","πᾶς"
59,01,08,"RA","DPF","ταῖς","ταῖς","ταῖς","ὁ"
59,01,08,"N","DPF","ὁδοῖς","ὁδοῖς","ὁδοῖς","ὁδός"
59,01,08,"RP","GSM","αὐτοῦ.","αὐτοῦ","αὐτοῦ","αὐτός"
59,01,09,"V","3PMD-S","Καυχάσθω","Καυχάσθω","καυχάσθω","καυχάομαι"
59,01,09,"C",NULL,"δὲ","δὲ","δέ","δέ"
59,01,09,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
59,01,09,"N","NSM","ἀδελφὸς","ἀδελφὸς","ἀδελφός","ἀδελφός"
59,01,09,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
59,01,09,"A","NSM","ταπεινὸς","ταπεινὸς","ταπεινός","ταπεινός"
59,01,09,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
59,01,09,"RA","DSN","τῷ","τῷ","τῷ","ὁ"
59,01,09,"N","DSN","ὕψει","ὕψει","ὕψει","ὕψος"
59,01,09,"RP","GSM","αὐτοῦ,","αὐτοῦ","αὐτοῦ","αὐτός"
59,01,10,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
59,01,10,"C",NULL,"δὲ","δὲ","δέ","δέ"
59,01,10,"A","NSM","πλούσιος","πλούσιος","πλούσιος","πλούσιος"
59,01,10,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
59,01,10,"RA","DSF","τῇ","τῇ","τῇ","ὁ"
59,01,10,"N","DSF","ταπεινώσει","ταπεινώσει","ταπεινώσει","ταπείνωσις"
59,01,10,"RP","GSM","αὐτοῦ,","αὐτοῦ","αὐτοῦ","αὐτός"
59,01,10,"C",NULL,"ὅτι","ὅτι","ὅτι","ὅτι"
59,01,10,"C",NULL,"ὡς","ὡς","ὡς","ὡς"
