"book","chapter","verse","part of speech","parsing code","text (including punctuation)","word (with punctuation stripped)","normalized word","lemma"
"61","01","01","N","NSM","⸀Συμεὼν","Συμεὼν","Συμεών","Συμεών"
"61","01","01","N","NSM","Πέτρος","Πέτρος","Πέτρος","Πέτρος"
"61","01","01","N","NSM","δοῦλος","δοῦλος","δοῦλος","δοῦλος"
"61","01","01","C","","καὶ","καὶ","καί","καί"
"61","01","01","N","NSM","ἀπόστολος","ἀπόστολος","ἀπόστολος","ἀπόστολος"
"61","01","01","N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
"61","01","01","N","GSM","Χριστοῦ","Χριστοῦ","Χριστοῦ","Χριστός"
"61","01","01","RA","DPM","τοῖς","τοῖς","τοῖς","ὁ"
"61","01","01","A","ASF","ἰσότιμον","ἰσότιμον","ἰσότιμον","ἰσότιμος"
"61","01","01","RP","DP","ἡμῖν","ἡμῖν","ἡμῖν","ἐγώ"
"61","01","01","V","AAPDPM","λαχοῦσιν","λαχοῦσιν","λαχοῦσι(ν)","λαγχάνω"
"61","01","01","N","ASF","πίστιν","πίστιν","πίστιν","πίστις"
"61","01","01","P","","ἐν","ἐν","ἐν","ἐν"
"61","01","01","N","DSF","δικαιοσύνῃ","δικαιοσύνῃ","δικαιοσύνῃ","δικαιοσύνη"
"61","01","01","RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
"61","01","01","N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
"61","01","01","RP","GP","ἡμῶν","ἡμῶν","ἡμῶν","ἐγώ"
"61","01","01","C","","καὶ","καὶ","καί","καί"
"61","01","01","N","GSM","σωτῆρος","σωτῆρος","σωτῆρος","σωτήρ"
"61","01","01","N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
"61","01","01","N","GSM","Χριστοῦ·","Χριστοῦ","Χριστοῦ","Χριστός"
"61","01","02","N","NSF","χάρις","χάρις","χάρις","χάρις"
"61","01","02","RP","DP","ὑμῖν","ὑμῖν","ὑμῖν","σύ"
"61","01","02","C","","καὶ","καὶ","καί","καί"
"61","01","02","N","NSF","εἰρήνη","εἰρήνη","εἰρήνη","εἰρήνη"
"61","01","02","V","3APO-S","πληθυνθείη","πληθυνθείη","πληθυνθείη","πληθύνω"
"61","01","02","P","","ἐν","ἐν","ἐν","ἐν"
"61","01","02","N","DSF","ἐπιγνώσει","ἐπιγνώσει","ἐπιγνώσει","ἐπίγνωσις"
"61","01","02","RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
"61","01","02","N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
"61","01","02","C","","καὶ","καὶ","καί","καί"
"61","01","02","N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
"61","01","02","RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
"61","01","02","N","GSM","κυρίου","κυρίου","κυρίου","κύριος"
"61","01","02","RP","GP","ἡμῶν.","ἡμῶν","ἡμῶν","ἐγώ"
"61","01","03","C","","Ὡς","Ὡς","ὡς","ὡς"
"61","01","03","A","APN","πάντα","πάντα","πάντα","πᾶς"
"61","01","03","RP","DP","ἡμῖν","ἡμῖν","ἡμῖν","ἐγώ"
"61","01","03","RA","GSF","τῆς","τῆς","τῆς","ὁ"
"61","01","03","A","GSF","θείας","θείας","θείας","θεῖος"
"61","01","03","N","GSF","δυνάμεως","δυνάμεως","δυνάμεως","δύναμις"
"61","01","03","RP","GSM","αὐτοῦ","αὐτοῦ","αὐτοῦ","αὐτός"
"61","01","03","RA","APN","τὰ","τὰ","τά","ὁ"
"61","01","03","P","","πρὸς","πρὸς","πρός","πρός"
"61","01","03","N","ASF","ζωὴν","ζωὴν","ζωήν","ζωή"
"61","01","03","C","","καὶ","καὶ","καί","καί"
"61","01","03","N","ASF","εὐσέβειαν","εὐσέβειαν","εὐσέβειαν","εὐσέβεια"
"61","01","03","V","XMPGSF","δεδωρημένης","δεδωρημένης","δεδωρημένης","δωρέομαι"
"61","01","03","P","","διὰ","διὰ","διά","διά"
"61","01","03","RA","GSF","τῆς","τῆς","τῆς","ὁ"
"61","01","03","N","GSF","ἐπιγνώσεως","ἐπιγνώσεως","ἐπιγνώσεως","ἐπίγνωσις"
"61","01","03","RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
"61","01","03","V","AAPGSM","καλέσαντος","καλέσαντος","καλέσαντος","καλέω"
"61","01","03","RP","AP","ἡμᾶς","ἡμᾶς","ἡμᾶς","ἐγώ"
"61","01","03","A","DSF","⸂ἰδίᾳ","ἰδίᾳ","ἰδίᾳ","ἴδιος"
"61","01","03","N","DSF","δόξῃ","δόξῃ","δόξῃ","δόξα"
"61","01","03","C","","καὶ","καὶ","καί","καί"
"61","01","03","N","DSF","ἀρετῇ⸃,","ἀρετῇ","ἀρετῇ","ἀρετή"
"61","01","04","P","","δι’","δι’","διά","διά"
"61","01","04","RR","GPN","ὧν","ὧν","ὧν","ὅς"
"61","01","04","RA","APN","τὰ","τὰ","τά","ὁ"
"61","01","04","A","APN","⸂τίμια","τίμια","τίμια","τίμιος"
"61","01","04","C","","καὶ","καὶ","καί","καί"
"61","01","04","A","APNS","μέγιστα","μέγιστα","μέγιστα","μέγιστος"
