"OSIS_id","Chapter","Verse","ParsingCodePOS","ParsingCodeDetails","TextWithPunctuation","WordWithPunctuationStripped","NormalizedWord","Lemma"
62,01,01,"RR","NSN","Ὃ","Ὃ","ὅ","ὅς"
62,01,01,"V","3IAI-S","ἦν","ἦν","ἦν","εἰμί"
62,01,01,"P",NULL,"ἀπ’","ἀπ’","ἀπό","ἀπό"
62,01,01,"N","GSF","ἀρχῆς,","ἀρχῆς","ἀρχῆς","ἀρχή"
62,01,01,"RR","ASN","ὃ","ὃ","ὅ","ὅς"
62,01,01,"V","1XAI-P","ἀκηκόαμεν,","ἀκηκόαμεν","ἀκηκόαμεν","ἀκούω"
62,01,01,"RR","ASN","ὃ","ὃ","ὅ","ὅς"
62,01,01,"V","1XAI-P","ἑωράκαμεν","ἑωράκαμεν","ἑωράκαμεν","ὁράω"
62,01,01,"RA","DPM","τοῖς","τοῖς","τοῖς","ὁ"
62,01,01,"N","DPM","ὀφθαλμοῖς","ὀφθαλμοῖς","ὀφθαλμοῖς","ὀφθαλμός"
62,01,01,"RP","GP","ἡμῶν,","ἡμῶν","ἡμῶν","ἐγώ"
62,01,01,"RR","ASN","ὃ","ὃ","ὅ","ὅς"
62,01,01,"V","1AMI-P","ἐθεασάμεθα","ἐθεασάμεθα","ἐθεασάμεθα","θεάομαι"
62,01,01,"C",NULL,"καὶ","καὶ","καί","καί"
62,01,01,"RA","NPF","αἱ","αἱ","αἱ","ὁ"
62,01,01,"N","NPF","χεῖρες","χεῖρες","χεῖρες","χείρ"
62,01,01,"RP","GP","ἡμῶν","ἡμῶν","ἡμῶν","ἐγώ"
62,01,01,"V","3AAI-P","ἐψηλάφησαν,","ἐψηλάφησαν","ἐψηλάφησαν","ψηλαφάω"
62,01,01,"P",NULL,"περὶ","περὶ","περί","περί"
62,01,01,"RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
62,01,01,"N","GSM","λόγου","λόγου","λόγου","λόγος"
62,01,01,"RA","GSF","τῆς","τῆς","τῆς","ὁ"
62,01,01,"N","GSF","ζωῆς—","ζωῆς","ζωῆς","ζωή"
62,01,02,"C",NULL,"καὶ","καὶ","καί","καί"
62,01,02,"RA","NSF","ἡ","ἡ","ἡ","ὁ"
62,01,02,"N","NSF","ζωὴ","ζωὴ","ζωή","ζωή"
62,01,02,"V","3API-S","ἐφανερώθη,","ἐφανερώθη","ἐφανερώθη","φανερόω"
62,01,02,"C",NULL,"καὶ","καὶ","καί","καί"
62,01,02,"V","1XAI-P","ἑωράκαμεν","ἑωράκαμεν","ἑωράκαμεν","ὁράω"
62,01,02,"C",NULL,"καὶ","καὶ","καί","καί"
62,01,02,"V","1PAI-P","μαρτυροῦμεν","μαρτυροῦμεν","μαρτυροῦμεν","μαρτυρέω"
62,01,02,"C",NULL,"καὶ","καὶ","καί","καί"
62,01,02,"V","1PAI-P","ἀπαγγέλλομεν","ἀπαγγέλλομεν","ἀπαγγέλλομεν","ἀπαγγέλλω"
62,01,02,"RP","DP","ὑμῖν","ὑμῖν","ὑμῖν","σύ"
62,01,02,"RA","ASF","τὴν","τὴν","τήν","ὁ"
62,01,02,"N","ASF","ζωὴν","ζωὴν","ζωήν","ζωή"
62,01,02,"RA","ASF","τὴν","τὴν","τήν","ὁ"
62,01,02,"A","ASF","αἰώνιον","αἰώνιον","αἰώνιον","αἰώνιος"
62,01,02,"RR","NSF","ἥτις","ἥτις","ἥτις","ὅστις"
62,01,02,"V","3IAI-S","ἦν","ἦν","ἦν","εἰμί"
62,01,02,"P",NULL,"πρὸς","πρὸς","πρός","πρός"
62,01,02,"RA","ASM","τὸν","τὸν","τόν","ὁ"
62,01,02,"N","ASM","πατέρα","πατέρα","πατέρα","πατήρ"
62,01,02,"C",NULL,"καὶ","καὶ","καί","καί"
62,01,02,"V","3API-S","ἐφανερώθη","ἐφανερώθη","ἐφανερώθη","φανερόω"
62,01,02,"RP","DP","ἡμῖν—","ἡμῖν","ἡμῖν","ἐγώ"
62,01,03,"RR","ASN","ὃ","ὃ","ὅ","ὅς"
62,01,03,"V","1XAI-P","ἑωράκαμεν","ἑωράκαμεν","ἑωράκαμεν","ὁράω"
62,01,03,"C",NULL,"καὶ","καὶ","καί","καί"
62,01,03,"V","1XAI-P","ἀκηκόαμεν","ἀκηκόαμεν","ἀκηκόαμεν","ἀκούω"
62,01,03,"V","1PAI-P","ἀπαγγέλλομεν","ἀπαγγέλλομεν","ἀπαγγέλλομεν","ἀπαγγέλλω"
62,01,03,"D",NULL,"⸀καὶ","καὶ","καί","καί"
62,01,03,"RP","DP","ὑμῖν,","ὑμῖν","ὑμῖν","σύ"
62,01,03,"C",NULL,"ἵνα","ἵνα","ἵνα","ἵνα"
62,01,03,"D",NULL,"καὶ","καὶ","καί","καί"
62,01,03,"RP","NP","ὑμεῖς","ὑμεῖς","ὑμεῖς","σύ"
62,01,03,"N","ASF","κοινωνίαν","κοινωνίαν","κοινωνίαν","κοινωνία"
62,01,03,"V","2PAS-P","ἔχητε","ἔχητε","ἔχητε","ἔχω"
62,01,03,"P",NULL,"μεθ’","μεθ’","μετά","μετά"
62,01,03,"RP","GP","ἡμῶν·","ἡμῶν","ἡμῶν","ἐγώ"
62,01,03,"D",NULL,"καὶ","καὶ","καί","καί"
62,01,03,"RA","NSF","ἡ","ἡ","ἡ","ὁ"
62,01,03,"N","NSF","κοινωνία","κοινωνία","κοινωνία","κοινωνία"
62,01,03,"C",NULL,"δὲ","δὲ","δέ","δέ"
62,01,03,"RA","NSF","ἡ","ἡ","ἡ","ὁ"
62,01,03,"A","NSF","ἡμετέρα","ἡμετέρα","ἡμετέρα","ἡμέτερος"
62,01,03,"P",NULL,"μετὰ","μετὰ","μετά","μετά"
62,01,03,"RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
62,01,03,"N","GSM","πατρὸς","πατρὸς","πατρός","πατήρ"
62,01,03,"C",NULL,"καὶ","καὶ","καί","καί"
62,01,03,"P",NULL,"μετὰ","μετὰ","μετά","μετά"
62,01,03,"RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
62,01,03,"N","GSM","υἱοῦ","υἱοῦ","υἱοῦ","υἱός"
62,01,03,"RP","GSM","αὐτοῦ","αὐτοῦ","αὐτοῦ","αὐτός"
62,01,03,"N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
62,01,03,"N","GSM","Χριστοῦ·","Χριστοῦ","Χριστοῦ","Χριστός"
62,01,04,"C",NULL,"καὶ","καὶ","καί","καί"
62,01,04,"RD","APN","ταῦτα","ταῦτα","ταῦτα","οὗτος"
62,01,04,"V","1PAI-P","γράφομεν","γράφομεν","γράφομεν","γράφω"
62,01,04,"RP","NP","⸀ἡμεῖς","ἡμεῖς","ἡμεῖς","ἐγώ"
62,01,04,"C",NULL,"ἵνα","ἵνα","ἵνα","ἵνα"
62,01,04,"RA","NSF","ἡ","ἡ","ἡ","ὁ"
62,01,04,"N","NSF","χαρὰ","χαρὰ","χαρά","χαρά"
62,01,04,"RP","GP","ἡμῶν","ἡμῶν","ἡμῶν","ἐγώ"
62,01,04,"V","3PAS-S","ᾖ","ᾖ","ᾖ","εἰμί"
62,01,04,"V","XPPNSF","πεπληρωμένη.","πεπληρωμένη","πεπληρωμένη","πληρόω"
62,01,05,"C",NULL,"Καὶ","Καὶ","καί","καί"
62,01,05,"V","3PAI-S","ἔστιν","ἔστιν","ἐστί(ν)","εἰμί"
62,01,05,"RD","NSF","αὕτη","αὕτη","αὕτη","οὗτος"
62,01,05,"RA","NSF","ἡ","ἡ","ἡ","ὁ"
62,01,05,"N","NSF","ἀγγελία","ἀγγελία","ἀγγελία","ἀγγελία"
62,01,05,"RR","ASF","ἣν","ἣν","ἥν","ὅς"
62,01,05,"V","1XAI-P","ἀκηκόαμεν","ἀκηκόαμεν","ἀκηκόαμεν","ἀκούω"
62,01,05,"P",NULL,"ἀπ’","ἀπ’","ἀπό","ἀπό"
62,01,05,"RP","GSM","αὐτοῦ","αὐτοῦ","αὐτοῦ","αὐτός"
62,01,05,"C",NULL,"καὶ","καὶ","καί","καί"
62,01,05,"V","1PAI-P","ἀναγγέλλομεν","ἀναγγέλλομεν","ἀναγγέλλομεν","ἀναγγέλλω"
62,01,05,"RP","DP","ὑμῖν,","ὑμῖν","ὑμῖν","σύ"
62,01,05,"D",NULL,"ὅτι","ὅτι","ὅτι","ὅτι"
62,01,05,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
62,01,05,"N","NSM","θεὸς","θεὸς","θεός","θεός"
62,01,05,"N","NSN","φῶς","φῶς","φῶς","φῶς"
62,01,05,"V","3PAI-S","ἐστιν","ἐστιν","ἐστί(ν)","εἰμί"
62,01,05,"C",NULL,"καὶ","καὶ","καί","καί"
62,01,05,"N","NSF","σκοτία","σκοτία","σκοτία","σκοτία"
62,01,05,"P",NULL,"⸂ἐν","ἐν","ἐν","ἐν"
