"book","chapter","verse","part of speech","parsing code","text (including punctuation)","word (with punctuation stripped)","normalized word","lemma"
"64","01","01","RA","NSM","Ὁ","Ὁ","ὁ","ὁ"
"64","01","01","A","NSM","πρεσβύτερος","πρεσβύτερος","πρεσβύτερος","πρεσβύτερος"
"64","01","01","N","DSM","Γαΐῳ","Γαΐῳ","Γαΐῳ","Γάϊος"
"64","01","01","RA","DSM","τῷ","τῷ","τῷ","ὁ"
"64","01","01","A","DSM","ἀγαπητῷ,","ἀγαπητῷ","ἀγαπητῷ","ἀγαπητός"
"64","01","01","RR","ASM","ὃν","ὃν","ὅν","ὅς"
"64","01","01","RP","NS","ἐγὼ","ἐγὼ","ἐγώ","ἐγώ"
"64","01","01","V","1PAI-S","ἀγαπῶ","ἀγαπῶ","ἀγαπῶ","ἀγαπάω"
"64","01","01","P","","ἐν","ἐν","ἐν","ἐν"
"64","01","01","N","DSF","ἀληθείᾳ.","ἀληθείᾳ","ἀληθείᾳ","ἀλήθεια"
"64","01","02","A","VSM","Ἀγαπητέ,","Ἀγαπητέ","ἀγαπητέ","ἀγαπητός"
"64","01","02","P","","περὶ","περὶ","περί","περί"
"64","01","02","A","GPN","πάντων","πάντων","πάντων","πᾶς"
"64","01","02","V","1PMI-S","εὔχομαί","εὔχομαί","εὔχομαι","εὔχομαι"
"64","01","02","RP","AS","σε","σε","σε","σύ"
"64","01","02","V","PPN","εὐοδοῦσθαι","εὐοδοῦσθαι","εὐοδοῦσθαι","εὐοδόομαι"
"64","01","02","C","","καὶ","καὶ","καί","καί"
"64","01","02","V","PAN","ὑγιαίνειν,","ὑγιαίνειν","ὑγιαίνειν","ὑγιαίνω"
"64","01","02","C","","καθὼς","καθὼς","καθώς","καθώς"
"64","01","02","V","3PPI-S","εὐοδοῦταί","εὐοδοῦταί","εὐοδοῦται","εὐοδόομαι"
"64","01","02","RP","GS","σου","σου","σου","σύ"
"64","01","02","RA","NSF","ἡ","ἡ","ἡ","ὁ"
"64","01","02","N","NSF","ψυχή.","ψυχή","ψυχή","ψυχή"
"64","01","03","V","1API-S","ἐχάρην","ἐχάρην","ἐχάρην","χαίρω"
"64","01","03","C","","γὰρ","γὰρ","γάρ","γάρ"
"64","01","03","D","","λίαν","λίαν","λίαν","λίαν"
"64","01","03","V","PMPGPM","ἐρχομένων","ἐρχομένων","ἐρχομένων","ἔρχομαι"
"64","01","03","N","GPM","ἀδελφῶν","ἀδελφῶν","ἀδελφῶν","ἀδελφός"
"64","01","03","C","","καὶ","καὶ","καί","καί"
"64","01","03","V","PAPGPM","μαρτυρούντων","μαρτυρούντων","μαρτυρούντων","μαρτυρέω"
"64","01","03","RP","GS","σου","σου","σου","σύ"
"64","01","03","RA","DSF","τῇ","τῇ","τῇ","ὁ"
"64","01","03","N","DSF","ἀληθείᾳ,","ἀληθείᾳ","ἀληθείᾳ","ἀλήθεια"
"64","01","03","C","","καθὼς","καθὼς","καθώς","καθώς"
"64","01","03","RP","NS","σὺ","σὺ","σύ","σύ"
"64","01","03","P","","ἐν","ἐν","ἐν","ἐν"
"64","01","03","N","DSF","ἀληθείᾳ","ἀληθείᾳ","ἀληθείᾳ","ἀλήθεια"
"64","01","03","V","2PAI-S","περιπατεῖς.","περιπατεῖς","περιπατεῖς","περιπατέω"
"64","01","04","A","ASFC","μειζοτέραν","μειζοτέραν","μειζοτέραν","μειζότερος"
"64","01","04","RD","GPN","τούτων","τούτων","τούτων","οὗτος"
"64","01","04","D","","οὐκ","οὐκ","οὐ","οὐ"
"64","01","04","V","1PAI-S","ἔχω","ἔχω","ἔχω","ἔχω"
"64","01","04","N","ASF","⸀χαράν,","χαράν","χαράν","χαρά"
"64","01","04","D","","ἵνα","ἵνα","ἵνα","ἵνα"
"64","01","04","V","1PAS-S","ἀκούω","ἀκούω","ἀκούω","ἀκούω"
"64","01","04","RA","APN","τὰ","τὰ","τά","ὁ"
"64","01","04","A","APN","ἐμὰ","ἐμὰ","ἐμά","ἐμός"
"64","01","04","N","APN","τέκνα","τέκνα","τέκνα","τέκνον"
"64","01","04","P","","ἐν","ἐν","ἐν","ἐν"
"64","01","04","RA","DSF","⸀τῇ","τῇ","τῇ","ὁ"
