"book","chapter","verse","part of speech","parsing code","text (including punctuation)","word (with punctuation stripped)","normalized word","lemma"
"65","01","01","N","NSM","Ἰούδας","Ἰούδας","Ἰούδας","Ἰούδας"
"65","01","01","N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
"65","01","01","N","GSM","Χριστοῦ","Χριστοῦ","Χριστοῦ","Χριστός"
"65","01","01","N","NSM","δοῦλος,","δοῦλος","δοῦλος","δοῦλος"
"65","01","01","N","NSM","ἀδελφὸς","ἀδελφὸς","ἀδελφός","ἀδελφός"
"65","01","01","C","","δὲ","δὲ","δέ","δέ"
"65","01","01","N","GSM","Ἰακώβου,","Ἰακώβου","Ἰακώβου","Ἰάκωβος"
"65","01","01","RA","DPM","τοῖς","τοῖς","τοῖς","ὁ"
"65","01","01","P","","ἐν","ἐν","ἐν","ἐν"
"65","01","01","N","DSM","θεῷ","θεῷ","θεῷ","θεός"
"65","01","01","N","DSM","πατρὶ","πατρὶ","πατρί","πατήρ"
"65","01","01","V","XPPDPM","⸀ἠγαπημένοις","ἠγαπημένοις","ἠγαπημένοις","ἀγαπάω"
"65","01","01","C","","καὶ","καὶ","καί","καί"
"65","01","01","N","DSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
"65","01","01","N","DSM","Χριστῷ","Χριστῷ","Χριστῷ","Χριστός"
"65","01","01","V","XPPDPM","τετηρημένοις","τετηρημένοις","τετηρημένοις","τηρέω"
"65","01","01","A","DPM","κλητοῖς·","κλητοῖς","κλητοῖς","κλητός"
"65","01","02","N","NSN","ἔλεος","ἔλεος","ἔλεος","ἔλεος"
"65","01","02","RP","DP","ὑμῖν","ὑμῖν","ὑμῖν","σύ"
"65","01","02","C","","καὶ","καὶ","καί","καί"
"65","01","02","N","NSF","εἰρήνη","εἰρήνη","εἰρήνη","εἰρήνη"
"65","01","02","C","","καὶ","καὶ","καί","καί"
"65","01","02","N","NSF","ἀγάπη","ἀγάπη","ἀγάπη","ἀγάπη"
"65","01","02","V","3APO-S","πληθυνθείη.","πληθυνθείη","πληθυνθείη","πληθύνω"
"65","01","03","A","VPM","Ἀγαπητοί,","Ἀγαπητοί","ἀγαπητοί","ἀγαπητός"
"65","01","03","A","ASF","πᾶσαν","πᾶσαν","πᾶσαν","πᾶς"
"65","01","03","N","ASF","σπουδὴν","σπουδὴν","σπουδήν","σπουδή"
"65","01","03","V","PMPNSM","ποιούμενος","ποιούμενος","ποιούμενος","ποιέω"
"65","01","03","V","PAN","γράφειν","γράφειν","γράφειν","γράφω"
"65","01","03","RP","DP","ὑμῖν","ὑμῖν","ὑμῖν","σύ"
"65","01","03","P","","περὶ","περὶ","περί","περί"
"65","01","03","RA","GSF","τῆς","τῆς","τῆς","ὁ"
"65","01","03","A","GSF","κοινῆς","κοινῆς","κοινῆς","κοινός"
"65","01","03","RP","GP","⸀ἡμῶν","ἡμῶν","ἡμῶν","ἐγώ"
"65","01","03","N","GSF","σωτηρίας","σωτηρίας","σωτηρίας","σωτηρία"
"65","01","03","N","ASF","ἀνάγκην","ἀνάγκην","ἀνάγκην","ἀνάγκη"
"65","01","03","V","1AAI-S","ἔσχον","ἔσχον","ἔσχον","ἔχω"
"65","01","03","V","AAN","γράψαι","γράψαι","γράψαι","γράφω"
"65","01","03","RP","DP","ὑμῖν","ὑμῖν","ὑμῖν","σύ"
"65","01","03","V","PAPNSM","παρακαλῶν","παρακαλῶν","παρακαλῶν","παρακαλέω"
"65","01","03","V","PMN","ἐπαγωνίζεσθαι","ἐπαγωνίζεσθαι","ἐπαγωνίζεσθαι","ἐπαγωνίζομαι"
"65","01","03","RA","DSF","τῇ","τῇ","τῇ","ὁ"
"65","01","03","D","","ἅπαξ","ἅπαξ","ἅπαξ","ἅπαξ"
"65","01","03","V","APPDSF","παραδοθείσῃ","παραδοθείσῃ","παραδοθείσῃ","παραδίδωμι"
"65","01","03","RA","DPM","τοῖς","τοῖς","τοῖς","ὁ"
"65","01","03","A","DPM","ἁγίοις","ἁγίοις","ἁγίοις","ἅγιος"
"65","01","03","N","DSF","πίστει.","πίστει","πίστει","πίστις"
"65","01","04","V","3AAI-P","παρεισέδυσαν","παρεισέδυσαν","παρεισέδυσαν","παρεισδύω"
"65","01","04","C","","γάρ","γάρ","γάρ","γάρ"
"65","01","04","RI","NPM","τινες","τινες","τινές","τις"
"65","01","04","N","NPM","ἄνθρωποι,","ἄνθρωποι","ἄνθρωποι","ἄνθρωπος"
"65","01","04","RA","NPM","οἱ","οἱ","οἱ","ὁ"
"65","01","04","D","","πάλαι","πάλαι","πάλαι","πάλαι"
"65","01","04","V","XPPNPM","προγεγραμμένοι","προγεγραμμένοι","προγεγραμμένοι","προγράφω"
"65","01","04","P","","εἰς","εἰς","εἰς","εἰς"
"65","01","04","RD","ASN","τοῦτο","τοῦτο","τοῦτο","οὗτος"
"65","01","04","RA","ASN","τὸ","τὸ","τό","ὁ"
"65","01","04","N","ASN","κρίμα,","κρίμα","κρίμα","κρίμα"
"65","01","04","A","NPM","ἀσεβεῖς,","ἀσεβεῖς","ἀσεβεῖς","ἀσεβής"
"65","01","04","RA","ASF","τὴν","τὴν","τήν","ὁ"
"65","01","04","RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
"65","01","04","N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
"65","01","04","RP","GP","ἡμῶν","ἡμῶν","ἡμῶν","ἐγώ"
"65","01","04","N","ASF","χάριτα","χάριτα","χάριτα","χάρις"
"65","01","04","V","PAPNPM","μετατιθέντες","μετατιθέντες","μετατιθέντες","μετατίθημι"
"65","01","04","P","","εἰς","εἰς","εἰς","εἰς"
"65","01","04","N","ASF","ἀσέλγειαν","ἀσέλγειαν","ἀσέλγειαν","ἀσέλγεια"
"65","01","04","C","","καὶ","καὶ","καί","καί"
"65","01","04","RA","ASM","τὸν","τὸν","τόν","ὁ"
"65","01","04","A","ASM","μόνον","μόνον","μόνον","μόνος"
"65","01","04","N","ASM","⸀δεσπότην","δεσπότην","δεσπότην","δεσπότης"
"65","01","04","C","","καὶ","καὶ","καί","καί"
"65","01","04","N","ASM","κύριον","κύριον","κύριον","κύριος"
"65","01","04","RP","GP","ἡμῶν","ἡμῶν","ἡμῶν","ἐγώ"
"65","01","04","N","ASM","Ἰησοῦν","Ἰησοῦν","Ἰησοῦν","Ἰησοῦς"
"65","01","04","N","ASM","Χριστὸν","Χριστὸν","Χριστόν","Χριστός"
"65","01","04","V","PMPNPM","ἀρνούμενοι.","ἀρνούμενοι","ἀρνούμενοι","ἀρνέομαι"
"65","01","05","V","AAN","Ὑπομνῆσαι","Ὑπομνῆσαι","ὑπομνῆσαι","ὑπομιμνῄσκω"
"65","01","05","C","","δὲ","δὲ","δέ","δέ"
