"OSIS_id","Chapter","Verse","ParsingCodePOS","ParsingCodeDetails","TextWithPunctuation","WordWithPunctuationStripped","NormalizedWord","Lemma"
66,01,01,"N","NSF","Ἀποκάλυψις","Ἀποκάλυψις","ἀποκάλυψις","ἀποκάλυψις"
66,01,01,"N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
66,01,01,"N","GSM","Χριστοῦ,","Χριστοῦ","Χριστοῦ","Χριστός"
66,01,01,"RR","ASF","ἣν","ἣν","ἥν","ὅς"
66,01,01,"V","3AAI-S","ἔδωκεν","ἔδωκεν","ἔδωκε(ν)","δίδωμι"
66,01,01,"RP","DSM","αὐτῷ","αὐτῷ","αὐτῷ","αὐτός"
66,01,01,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
66,01,01,"N","NSM","θεὸς","θεὸς","θεός","θεός"
66,01,01,"V","AAN","δεῖξαι","δεῖξαι","δεῖξαι","δείκνυμι"
66,01,01,"RA","DPM","τοῖς","τοῖς","τοῖς","ὁ"
66,01,01,"N","DPM","δούλοις","δούλοις","δούλοις","δοῦλος"
66,01,01,"RP","GSM","αὐτοῦ,","αὐτοῦ","αὐτοῦ","αὐτός"
66,01,01,"RR","APN","ἃ","ἃ","ἅ","ὅς"
66,01,01,"V","3PAI-S","δεῖ","δεῖ","δεῖ","δέω"
66,01,01,"V","AMN","γενέσθαι","γενέσθαι","γενέσθαι","γίνομαι"
66,01,01,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
66,01,01,"N","DSN","τάχει,","τάχει","τάχει","τάχος"
66,01,01,"C",NULL,"καὶ","καὶ","καί","καί"
66,01,01,"V","3AAI-S","ἐσήμανεν","ἐσήμανεν","ἐσήμανε(ν)","σημαίνω"
66,01,01,"V","AAPNSM","ἀποστείλας","ἀποστείλας","ἀποστείλας","ἀποστέλλω"
66,01,01,"P",NULL,"διὰ","διὰ","διά","διά"
66,01,01,"RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
66,01,01,"N","GSM","ἀγγέλου","ἀγγέλου","ἀγγέλου","ἄγγελος"
66,01,01,"RP","GSM","αὐτοῦ","αὐτοῦ","αὐτοῦ","αὐτός"
66,01,01,"RA","DSM","τῷ","τῷ","τῷ","ὁ"
66,01,01,"N","DSM","δούλῳ","δούλῳ","δούλῳ","δοῦλος"
66,01,01,"RP","GSM","αὐτοῦ","αὐτοῦ","αὐτοῦ","αὐτός"
66,01,01,"N","DSM","Ἰωάννῃ,","Ἰωάννῃ","Ἰωάννῃ","Ἰωάννης"
66,01,02,"RR","NSM","ὃς","ὃς","ὅς","ὅς"
66,01,02,"V","3AAI-S","ἐμαρτύρησεν","ἐμαρτύρησεν","ἐμαρτύρησε(ν)","μαρτυρέω"
66,01,02,"RA","ASM","τὸν","τὸν","τόν","ὁ"
66,01,02,"N","ASM","λόγον","λόγον","λόγον","λόγος"
66,01,02,"RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
66,01,02,"N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
66,01,02,"C",NULL,"καὶ","καὶ","καί","καί"
66,01,02,"RA","ASF","τὴν","τὴν","τήν","ὁ"
66,01,02,"N","ASF","μαρτυρίαν","μαρτυρίαν","μαρτυρίαν","μαρτυρία"
66,01,02,"N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
66,01,02,"N","GSM","Χριστοῦ,","Χριστοῦ","Χριστοῦ","Χριστός"
66,01,02,"RR","APN","ὅσα","ὅσα","ὅσα","ὅσος"
66,01,02,"V","3AAI-S","εἶδεν.","εἶδεν","εἶδε(ν)","ὁράω"
66,01,03,"A","NSM","μακάριος","μακάριος","μακάριος","μακάριος"
66,01,03,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
66,01,03,"V","PAPNSM","ἀναγινώσκων","ἀναγινώσκων","ἀναγινώσκων","ἀναγινώσκω"
66,01,03,"C",NULL,"καὶ","καὶ","καί","καί"
66,01,03,"RA","NPM","οἱ","οἱ","οἱ","ὁ"
66,01,03,"V","PAPNPM","ἀκούοντες","ἀκούοντες","ἀκούοντες","ἀκούω"
66,01,03,"RA","APM","τοὺς","τοὺς","τούς","ὁ"
66,01,03,"N","APM","λόγους","λόγους","λόγους","λόγος"
66,01,03,"RA","GSF","τῆς","τῆς","τῆς","ὁ"
66,01,03,"N","GSF","προφητείας","προφητείας","προφητείας","προφητεία"
66,01,03,"C",NULL,"καὶ","καὶ","καί","καί"
66,01,03,"V","PAPNPM","τηροῦντες","τηροῦντες","τηροῦντες","τηρέω"
66,01,03,"RA","APN","τὰ","τὰ","τά","ὁ"
66,01,03,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
66,01,03,"RP","DSF","αὐτῇ","αὐτῇ","αὐτῇ","αὐτός"
66,01,03,"V","XPPAPN","γεγραμμένα,","γεγραμμένα","γεγραμμένα","γράφω"
66,01,03,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
66,01,03,"C",NULL,"γὰρ","γὰρ","γάρ","γάρ"
66,01,03,"N","NSM","καιρὸς","καιρὸς","καιρός","καιρός"
66,01,03,"D",NULL,"ἐγγύς.","ἐγγύς","ἐγγύς","ἐγγύς"
66,01,04,"N","NSM","Ἰωάννης","Ἰωάννης","Ἰωάννης","Ἰωάννης"
66,01,04,"RA","DPF","ταῖς","ταῖς","ταῖς","ὁ"
66,01,04,"A","DPF","ἑπτὰ","ἑπτὰ","ἑπτά","ἑπτά"
66,01,04,"N","DPF","ἐκκλησίαις","ἐκκλησίαις","ἐκκλησίαις","ἐκκλησία"
66,01,04,"RA","DPF","ταῖς","ταῖς","ταῖς","ὁ"
66,01,04,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
66,01,04,"RA","DSF","τῇ","τῇ","τῇ","ὁ"
66,01,04,"N","DSF","Ἀσίᾳ·","Ἀσίᾳ","Ἀσίᾳ","Ἀσία"
66,01,04,"N","NSF","χάρις","χάρις","χάρις","χάρις"
66,01,04,"RP","DP","ὑμῖν","ὑμῖν","ὑμῖν","σύ"
66,01,04,"C",NULL,"καὶ","καὶ","καί","καί"
66,01,04,"N","NSF","εἰρήνη","εἰρήνη","εἰρήνη","εἰρήνη"
66,01,04,"P",NULL,"⸀ἀπὸ","ἀπὸ","ἀπό","ἀπό"
66,01,04,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
66,01,04,"V","PAPNSM","ὢν","ὢν","ὤν","εἰμί"
66,01,04,"C",NULL,"καὶ","καὶ","καί","καί"
66,01,04,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
66,01,04,"V","3IAI-S","ἦν","ἦν","ἦν","εἰμί"
66,01,04,"C",NULL,"καὶ","καὶ","καί","καί"
66,01,04,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
66,01,04,"V","PMPNSM","ἐρχόμενος,","ἐρχόμενος","ἐρχόμενος","ἔρχομαι"
66,01,04,"C",NULL,"καὶ","καὶ","καί","καί"
66,01,04,"P",NULL,"ἀπὸ","ἀπὸ","ἀπό","ἀπό"
66,01,04,"RA","GPN","τῶν","τῶν","τῶν","ὁ"
66,01,04,"A","GPN","ἑπτὰ","ἑπτὰ","ἑπτά","ἑπτά"
66,01,04,"N","GPN","πνευμάτων","πνευμάτων","πνευμάτων","πνεῦμα"
66,01,04,"RR","NPN","ἃ","ἃ","ἅ","ὅς"
66,01,04,"P",NULL,"ἐνώπιον","ἐνώπιον","ἐνώπιον","ἐνώπιον"
66,01,04,"RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
66,01,04,"N","GSM","θρόνου","θρόνου","θρόνου","θρόνος"
66,01,04,"RP","GSM","αὐτοῦ,","αὐτοῦ","αὐτοῦ","αὐτός"
66,01,05,"C",NULL,"καὶ","καὶ","καί","καί"
66,01,05,"P",NULL,"ἀπὸ","ἀπὸ","ἀπό","ἀπό"
66,01,05,"N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
66,01,05,"N","GSM","Χριστοῦ,","Χριστοῦ","Χριστοῦ","Χριστός"
66,01,05,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
66,01,05,"N","NSM","μάρτυς","μάρτυς","μάρτυς","μάρτυς"
66,01,05,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
66,01,05,"A","NSM","πιστός,","πιστός","πιστός","πιστός"
66,01,05,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
66,01,05,"A","NSM","πρωτότοκος","πρωτότοκος","πρωτότοκος","πρωτότοκος"
66,01,05,"RA","GPM","τῶν","τῶν","τῶν","ὁ"
66,01,05,"A","GPM","νεκρῶν","νεκρῶν","νεκρῶν","νεκρός"
66,01,05,"C",NULL,"καὶ","καὶ","καί","καί"
66,01,05,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
