"OSIS_id","Chapter","Verse","ParsingCodePOS","ParsingCodeDetails","TextWithPunctuation","WordWithPunctuationStripped","NormalizedWord","Lemma"
40,01,01,"N","NSF","Βίβλος","Βίβλος","βίβλος","βίβλος"
40,01,01,"N","GSF","γενέσεως","γενέσεως","γενέσεως","γένεσις"
40,01,01,"N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
40,01,01,"N","GSM","χριστοῦ","χριστοῦ","Χριστοῦ","Χριστός"
40,01,01,"N","GSM","υἱοῦ","υἱοῦ","υἱοῦ","υἱός"
40,01,01,"N","GSM","Δαυὶδ","Δαυὶδ","Δαυίδ","Δαυίδ"
40,01,01,"N","GSM","υἱοῦ","υἱοῦ","υἱοῦ","υἱός"
40,01,01,"N","GSM","Ἀβραάμ.","Ἀβραάμ","Ἀβραάμ","Ἀβραάμ"
40,01,02,"N","NSM","Ἀβραὰμ","Ἀβραὰμ","Ἀβραάμ","Ἀβραάμ"
40,01,02,"V","3AAI-S","ἐγέννησεν","ἐγέννησεν","ἐγέννησε(ν)","γεννάω"
40,01,02,"RA","ASM","τὸν","τὸν","τόν","ὁ"
40,01,02,"N","ASM","Ἰσαάκ,","Ἰσαάκ","Ἰσαάκ","Ἰσαάκ"
40,01,02,"N","NSM","Ἰσαὰκ","Ἰσαὰκ","Ἰσαάκ","Ἰσαάκ"
40,01,02,"C",NULL,"δὲ","δὲ","δέ","δέ"
40,01,02,"V","3AAI-S","ἐγέννησεν","ἐγέννησεν","ἐγέννησε(ν)","γεννάω"
40,01,02,"RA","ASM","τὸν","τὸν","τόν","ὁ"
40,01,02,"N","ASM","Ἰακώβ,","Ἰακώβ","Ἰακώβ","Ἰακώβ"
40,01,02,"N","NSM","Ἰακὼβ","Ἰακὼβ","Ἰακώβ","Ἰακώβ"
40,01,02,"C",NULL,"δὲ","δὲ","δέ","δέ"
40,01,02,"V","3AAI-S","ἐγέννησεν","ἐγέννησεν","ἐγέννησε(ν)","γεννάω"
40,01,02,"RA","ASM","τὸν","τὸν","τόν","ὁ"
40,01,02,"N","ASM","Ἰούδαν","Ἰούδαν","Ἰούδαν","Ἰούδας"
40,01,02,"C",NULL,"καὶ","καὶ","καί","καί"
40,01,02,"RA","APM","τοὺς","τοὺς","τούς","ὁ"
40,01,02,"N","APM","ἀδελφοὺς","ἀδελφοὺς","ἀδελφούς","ἀδελφός"
40,01,02,"RP","GSM","αὐτοῦ,","αὐτοῦ","αὐτοῦ","αὐτός"
40,01,03,"N","NSM","Ἰούδας","Ἰούδας","Ἰούδας","Ἰούδας"
40,01,03,"C",NULL,"δὲ","δὲ","δέ","δέ"
40,01,03,"V","3AAI-S","ἐγέννησεν","ἐγέννησεν","ἐγέννησε(ν)","γεννάω"
40,01,03,"RA","ASM","τὸν","τὸν","τόν","ὁ"
40,01,03,"N","ASM","Φαρὲς","Φαρὲς","Φαρές","Φαρές"
40,01,03,"C",NULL,"καὶ","καὶ","καί","καί"
40,01,03,"RA","ASM","τὸν","τὸν","τόν","ὁ"
40,01,03,"N","ASM","Ζάρα","Ζάρα","Ζάρα","Ζάρα"
40,01,03,"P",NULL,"ἐκ","ἐκ","ἐκ","ἐκ"
40,01,03,"RA","GSF","τῆς","τῆς","τῆς","ὁ"
40,01,03,"N","GSF","Θαμάρ,","Θαμάρ","Θαμάρ","Θαμάρ"
40,01,03,"N","NSM","Φαρὲς","Φαρὲς","Φαρές","Φαρές"
40,01,03,"C",NULL,"δὲ","δὲ","δέ","δέ"
40,01,03,"V","3AAI-S","ἐγέννησεν","ἐγέννησεν","ἐγέννησε(ν)","γεννάω"
40,01,03,"RA","ASM","τὸν","τὸν","τόν","ὁ"
40,01,03,"N","ASM","Ἑσρώμ,","Ἑσρώμ","Ἑσρώμ","Ἑσρώμ"
40,01,03,"N","NSM","Ἑσρὼμ","Ἑσρὼμ","Ἑσρώμ","Ἑσρώμ"
40,01,03,"C",NULL,"δὲ","δὲ","δέ","δέ"
40,01,03,"V","3AAI-S","ἐγέννησεν","ἐγέννησεν","ἐγέννησε(ν)","γεννάω"
40,01,03,"RA","ASM","τὸν","τὸν","τόν","ὁ"
40,01,03,"N","ASM","Ἀράμ,","Ἀράμ","Ἀράμ","Ἀράμ"
40,01,04,"N","NSM","Ἀρὰμ","Ἀρὰμ","Ἀράμ","Ἀράμ"
40,01,04,"C",NULL,"δὲ","δὲ","δέ","δέ"
40,01,04,"V","3AAI-S","ἐγέννησεν","ἐγέννησεν","ἐγέννησε(ν)","γεννάω"
40,01,04,"RA","ASM","τὸν","τὸν","τόν","ὁ"
40,01,04,"N","ASM","Ἀμιναδάβ,","Ἀμιναδάβ","Ἀμιναδάβ","Ἀμιναδάβ"
40,01,04,"N","NSM","Ἀμιναδὰβ","Ἀμιναδὰβ","Ἀμιναδάβ","Ἀμιναδάβ"
40,01,04,"C",NULL,"δὲ","δὲ","δέ","δέ"
40,01,04,"V","3AAI-S","ἐγέννησεν","ἐγέννησεν","ἐγέννησε(ν)","γεννάω"
40,01,04,"RA","ASM","τὸν","τὸν","τόν","ὁ"
40,01,04,"N","ASM","Ναασσών,","Ναασσών","Ναασσών","Ναασσών"
40,01,04,"N","NSM","Ναασσὼν","Ναασσὼν","Ναασσών","Ναασσών"
40,01,04,"C",NULL,"δὲ","δὲ","δέ","δέ"
40,01,04,"V","3AAI-S","ἐγέννησεν","ἐγέννησεν","ἐγέννησε(ν)","γεννάω"
40,01,04,"RA","ASM","τὸν","τὸν","τόν","ὁ"
40,01,04,"N","ASM","Σαλμών,","Σαλμών","Σαλμών","Σαλμών"
40,01,05,"N","NSM","Σαλμὼν","Σαλμὼν","Σαλμών","Σαλμών"
40,01,05,"C",NULL,"δὲ","δὲ","δέ","δέ"
40,01,05,"V","3AAI-S","ἐγέννησεν","ἐγέννησεν","ἐγέννησε(ν)","γεννάω"
40,01,05,"RA","ASM","τὸν","τὸν","τόν","ὁ"
40,01,05,"N","ASM","⸂Βόες","Βόες","Βόες","Βόες"
40,01,05,"P",NULL,"ἐκ","ἐκ","ἐκ","ἐκ"
40,01,05,"RA","GSF","τῆς","τῆς","τῆς","ὁ"
40,01,05,"N","GSF","Ῥαχάβ,","Ῥαχάβ","Ῥαχάβ","Ῥαχάβ"
40,01,05,"N","NSM","Βόες⸃","Βόες","Βόες","Βόες"
40,01,05,"C",NULL,"δὲ","δὲ","δέ","δέ"
40,01,05,"V","3AAI-S","ἐγέννησεν","ἐγέννησεν","ἐγέννησε(ν)","γεννάω"
40,01,05,"RA","ASM","τὸν","τὸν","τόν","ὁ"
40,01,05,"N","ASM","⸂Ἰωβὴδ","Ἰωβὴδ","Ἰωβήδ","Ἰωβήδ"
40,01,05,"P",NULL,"ἐκ","ἐκ","ἐκ","ἐκ"
40,01,05,"RA","GSF","τῆς","τῆς","τῆς","ὁ"
40,01,05,"N","GSF","Ῥούθ,","Ῥούθ","Ῥούθ","Ῥούθ"
40,01,05,"N","NSM","Ἰωβὴδ⸃","Ἰωβὴδ","Ἰωβήδ","Ἰωβήδ"
40,01,05,"C",NULL,"δὲ","δὲ","δέ","δέ"
40,01,05,"V","3AAI-S","ἐγέννησεν","ἐγέννησεν","ἐγέννησε(ν)","γεννάω"
40,01,05,"RA","ASM","τὸν","τὸν","τόν","ὁ"
40,01,05,"N","ASM","Ἰεσσαί,","Ἰεσσαί","Ἰεσσαί","Ἰεσσαί"
40,01,06,"N","NSM","Ἰεσσαὶ","Ἰεσσαὶ","Ἰεσσαί","Ἰεσσαί"
40,01,06,"C",NULL,"δὲ","δὲ","δέ","δέ"
40,01,06,"V","3AAI-S","ἐγέννησεν","ἐγέννησεν","ἐγέννησε(ν)","γεννάω"
40,01,06,"RA","ASM","τὸν","τὸν","τόν","ὁ"
40,01,06,"N","ASM","Δαυὶδ","Δαυὶδ","Δαυίδ","Δαυίδ"
40,01,06,"RA","ASM","τὸν","τὸν","τόν","ὁ"
40,01,06,"N","ASM","βασιλέα.","βασιλέα","βασιλέα","βασιλεύς"
40,01,06,"N","NSM","Δαυὶδ","Δαυὶδ","Δαυίδ","Δαυίδ"
40,01,06,"C",NULL,"⸀δὲ","δὲ","δέ","δέ"
40,01,06,"V","3AAI-S","ἐγέννησεν","ἐγέννησεν","ἐγέννησε(ν)","γεννάω"
40,01,06,"RA","ASM","τὸν","τὸν","τόν","ὁ"
